;C4TC;C5TC;PMX;S10TC;S6TC;C4TC_5TC;SMX;CSZ
06/05/1998;;;7170;;;;;
07/05/1998;;;7156;;;;;
08/05/1998;;;7129;;;;;
11/05/1998;;;7094;;;;;
12/05/1998;;;7017;;;;;
13/05/1998;;;6960;;;;;
14/05/1998;;;6961;;;;;
15/05/1998;;;6982;;;;;
18/05/1998;;;7015;;;;;
19/05/1998;;;7018;;;;;
20/05/1998;;;7016;;;;;
21/05/1998;;;7013;;;;;
22/05/1998;;;6954;;;;;
26/05/1998;;;6875;;;;;
27/05/1998;;;6835;;;;;
28/05/1998;;;6758;;;;;
29/05/1998;;;6736;;;;;
01/06/1998;;;6680;;;;;
02/06/1998;;;6542;;;;;
03/06/1998;;;6450;;;;;
04/06/1998;;;6371;;;;;
05/06/1998;;;6314;;;;;
08/06/1998;;;6236;;;;;
09/06/1998;;;6214;;;;;
10/06/1998;;;6157;;;;;
11/06/1998;;;6157;;;;;
12/06/1998;;;6276;;;;;
15/06/1998;;;6414;;;;;
16/06/1998;;;6486;;;;;
17/06/1998;;;6507;;;;;
18/06/1998;;;6481;;;;;
19/06/1998;;;6446;;;;;
22/06/1998;;;6441;;;;;
23/06/1998;;;6397;;;;;
24/06/1998;;;6350;;;;;
25/06/1998;;;6267;;;;;
26/06/1998;;;6207;;;;;
29/06/1998;;;6171;;;;;
30/06/1998;;;6100;;;;;
01/07/1998;;;6025;;;;;
02/07/1998;;;5995;;;;;
03/07/1998;;;5953;;;;;
06/07/1998;;;5970;;;;;
07/07/1998;;;5970;;;;;
08/07/1998;;;6018;;;;;
09/07/1998;;;6056;;;;;
10/07/1998;;;6079;;;;;
13/07/1998;;;6089;;;;;
14/07/1998;;;6110;;;;;
15/07/1998;;;6096;;;;;
16/07/1998;;;6093;;;;;
17/07/1998;;;6114;;;;;
20/07/1998;;;6153;;;;;
21/07/1998;;;6120;;;;;
22/07/1998;;;6093;;;;;
23/07/1998;;;6073;;;;;
24/07/1998;;;6043;;;;;
27/07/1998;;;6000;;;;;
28/07/1998;;;5978;;;;;
29/07/1998;;;5943;;;;;
30/07/1998;;;5935;;;;;
31/07/1998;;;5918;;;;;
03/08/1998;;;5871;;;;;
04/08/1998;;;5764;;;;;
05/08/1998;;;5680;;;;;
06/08/1998;;;5544;;;;;
07/08/1998;;;5484;;;;;
10/08/1998;;;5431;;;;;
11/08/1998;;;5367;;;;;
12/08/1998;;;5310;;;;;
13/08/1998;;;5291;;;;;
14/08/1998;;;5281;;;;;
17/08/1998;;;5277;;;;;
18/08/1998;;;5270;;;;;
19/08/1998;;;5257;;;;;
20/08/1998;;;5288;;;;;
21/08/1998;;;5300;;;;;
24/08/1998;;;5326;;;;;
25/08/1998;;;5348;;;;;
26/08/1998;;;5373;;;;;
27/08/1998;;;5361;;;;;
28/08/1998;;;5344;;;;;
01/09/1998;;;5327;;;;;
02/09/1998;;;5296;;;;;
03/09/1998;;;5293;;;;;
04/09/1998;;;5313;;;;;
07/09/1998;;;5333;;;;;
08/09/1998;;;5342;;;;;
09/09/1998;;;5388;;;;;
10/09/1998;;;5411;;;;;
11/09/1998;;;5520;;;;;
14/09/1998;;;5557;;;;;
15/09/1998;;;5623;;;;;
16/09/1998;;;5677;;;;;
17/09/1998;;;5732;;;;;
18/09/1998;;;5786;;;;;
21/09/1998;;;5872;;;;;
22/09/1998;;;5969;;;;;
23/09/1998;;;6023;;;;;
24/09/1998;;;6077;;;;;
25/09/1998;;;6144;;;;;
28/09/1998;;;6231;;;;;
29/09/1998;;;6357;;;;;
30/09/1998;;;6483;;;;;
01/10/1998;;;6600;;;;;
02/10/1998;;;6688;;;;;
05/10/1998;;;6751;;;;;
06/10/1998;;;6803;;;;;
07/10/1998;;;6869;;;;;
08/10/1998;;;6938;;;;;
09/10/1998;;;7053;;;;;
12/10/1998;;;7110;;;;;
13/10/1998;;;7143;;;;;
14/10/1998;;;7161;;;;;
15/10/1998;;;7168;;;;;
16/10/1998;;;7178;;;;;
19/10/1998;;;7143;;;;;
20/10/1998;;;7099;;;;;
21/10/1998;;;7047;;;;;
22/10/1998;;;7013;;;;;
23/10/1998;;;6909;;;;;
26/10/1998;;;6838;;;;;
27/10/1998;;;6802;;;;;
28/10/1998;;;6790;;;;;
29/10/1998;;;6788;;;;;
30/10/1998;;;6822;;;;;
02/11/1998;;;6864;;;;;
03/11/1998;;;6877;;;;;
04/11/1998;;;6892;;;;;
05/11/1998;;;6900;;;;;
06/11/1998;;;6938;;;;;
09/11/1998;;;6948;;;;;
10/11/1998;;;6986;;;;;
11/11/1998;;;7020;;;;;
12/11/1998;;;7070;;;;;
13/11/1998;;;7074;;;;;
16/11/1998;;;7078;;;;;
17/11/1998;;;7078;;;;;
18/11/1998;;;7065;;;;;
19/11/1998;;;7046;;;;;
20/11/1998;;;7022;;;;;
23/11/1998;;;7002;;;;;
24/11/1998;;;6971;;;;;
25/11/1998;;;6931;;;;;
26/11/1998;;;6839;;;;;
27/11/1998;;;6788;;;;;
30/11/1998;;;6746;;;;;
01/12/1998;;;6664;;;;;
02/12/1998;;;6531;;;;;
03/12/1998;;;6386;;;;;
04/12/1998;;;6200;;;;;
07/12/1998;;;6037;;;;;
08/12/1998;;;5866;;;;;
09/12/1998;;;5747;;;;;
10/12/1998;;;5606;;;;;
11/12/1998;;;5482;;;;;
14/12/1998;;;5425;;;;;
15/12/1998;;;5281;;;;;
16/12/1998;;;5203;;;;;
17/12/1998;;;5053;;;;;
18/12/1998;;;4972;;;;;
21/12/1998;;;4922;;;;;
22/12/1998;;;4847;;;;;
23/12/1998;;;4766;;;;;
24/12/1998;;;4730;;;;;
29/12/1998;;;4723;;;;;
30/12/1998;;;4692;;;;;
31/12/1998;;;4721;;;;;
04/01/1999;;;4606;;;;;
05/01/1999;;;4536;;;;;
06/01/1999;;;4698;;;;;
07/01/1999;;;4755;;;;;
08/01/1999;;;4750;;;;;
11/01/1999;;;4707;;;;;
12/01/1999;;;4716;;;;;
13/01/1999;;;4678;;;;;
14/01/1999;;;4727;;;;;
15/01/1999;;;4792;;;;;
18/01/1999;;;4816;;;;;
19/01/1999;;;4864;;;;;
20/01/1999;;;5020;;;;;
21/01/1999;;;5455;;;;;
22/01/1999;;;5620;;;;;
25/01/1999;;;5681;;;;;
26/01/1999;;;5651;;;;;
27/01/1999;;;5583;;;;;
28/01/1999;;;5481;;;;;
29/01/1999;;;5413;;;;;
01/02/1999;;;5276;;;;;
02/02/1999;;;5121;;;;;
03/02/1999;;;5042;;;;;
04/02/1999;;;5047;;;;;
05/02/1999;;;5128;;;;;
08/02/1999;;;5127;;;;;
09/02/1999;;;5200;;;;;
10/02/1999;;;5213;;;;;
11/02/1999;;;5216;;;;;
12/02/1999;;;5302;;;;;
15/02/1999;;;5385;;;;;
16/02/1999;;;5435;;;;;
17/02/1999;;;5497;;;;;
18/02/1999;;;5579;;;;;
19/02/1999;;;5714;;;;;
22/02/1999;;;5914;;;;;
23/02/1999;;;6111;;;;;
24/02/1999;;;6389;;;;;
25/02/1999;;;6762;;;;;
26/02/1999;;;7125;;;;;
01/03/1999;8796;;7265;;;8796;;
02/03/1999;8988;;7242;;;8988;;
03/03/1999;9058;;7152;;;9058;;
04/03/1999;9008;;7023;;;9008;;
05/03/1999;8842;;6870;;;8842;;
08/03/1999;8850;;6890;;;8850;;
09/03/1999;8885;;6973;;;8885;;
10/03/1999;8945;;7063;;;8945;;
11/03/1999;8934;;7217;;;8934;;
12/03/1999;8993;;7438;;;8993;;
15/03/1999;9022;;7475;;;9022;;
16/03/1999;9018;;7472;;;9018;;
17/03/1999;9035;;7415;;;9035;;
18/03/1999;9149;;7302;;;9149;;
19/03/1999;9227;;7235;;;9227;;
22/03/1999;9294;;7123;;;9294;;
23/03/1999;9247;;7032;;;9247;;
24/03/1999;9206;;6940;;;9206;;
25/03/1999;9188;;6844;;;9188;;
26/03/1999;9017;;6726;;;9017;;
29/03/1999;8969;;6630;;;8969;;
30/03/1999;8856;;6467;;;8856;;
31/03/1999;8784;;6289;;;8784;;
01/04/1999;8701;;6161;;;8701;;
06/04/1999;8523;;6040;;;8523;;
07/04/1999;8263;;5955;;;8263;;
08/04/1999;7941;;5867;;;7941;;
09/04/1999;7760;;5888;;;7760;;
12/04/1999;7609;;5900;;;7609;;
13/04/1999;7327;;5910;;;7327;;
14/04/1999;7219;;6036;;;7219;;
15/04/1999;7207;;6156;;;7207;;
16/04/1999;7178;;6313;;;7178;;
19/04/1999;7164;;6442;;;7164;;
20/04/1999;7255;;6575;;;7255;;
21/04/1999;7299;;6806;;;7299;;
22/04/1999;7370;;7075;;;7370;;
23/04/1999;7418;;7285;;;7418;;
26/04/1999;7465;;7422;;;7465;;
27/04/1999;7484;;7659;;;7484;;
28/04/1999;7590;;8006;;;7590;;
29/04/1999;7612;;8314;;;7612;;
30/04/1999;7720;;8643;;;7720;;
04/05/1999;7741;;8612;;;7741;;
05/05/1999;7902;;8543;;;7902;;
06/05/1999;8000;;8613;;;8000;;
07/05/1999;8198;;8758;;;8198;;
10/05/1999;8254;;8818;;;8254;;
11/05/1999;8313;;8740;;;8313;;
12/05/1999;8334;;8613;;;8334;;
13/05/1999;8431;;8405;;;8431;;
14/05/1999;8403;;8234;;;8403;;
17/05/1999;8414;;8104;;;8414;;
18/05/1999;8369;;7980;;;8369;;
19/05/1999;8302;;7809;;;8302;;
20/05/1999;8279;;7660;;;8279;;
21/05/1999;8163;;7650;;;8163;;
24/05/1999;8140;;7633;;;8140;;
25/05/1999;8068;;7597;;;8068;;
26/05/1999;7986;;7507;;;7986;;
27/05/1999;7851;;7334;;;7851;;
28/05/1999;7710;;7273;;;7710;;
01/06/1999;7658;;7224;;;7658;;
02/06/1999;7595;;7208;;;7595;;
03/06/1999;7535;;7315;;;7535;;
04/06/1999;7454;;7634;;;7454;;
07/06/1999;7375;;7809;;;7375;;
08/06/1999;7296;;7854;;;7296;;
09/06/1999;7226;;7997;;;7226;;
10/06/1999;7214;;8034;;;7214;;
11/06/1999;7166;;8048;;;7166;;
14/06/1999;7103;;8006;;;7103;;
15/06/1999;7052;;7879;;;7052;;
16/06/1999;7007;;7680;;;7007;;
17/06/1999;6915;;7388;;;6915;;
18/06/1999;6885;;7211;;;6885;;
21/06/1999;6813;;7151;;;6813;;
22/06/1999;6800;;7127;;;6800;;
23/06/1999;6769;;7244;;;6769;;
24/06/1999;6702;;7362;;;6702;;
25/06/1999;6721;;7399;;;6721;;
28/06/1999;6635;;7383;;;6635;;
29/06/1999;6588;;7325;;;6588;;
30/06/1999;6519;;7262;;;6519;;
01/07/1999;6491;;7167;;;6491;;
02/07/1999;6517;;7111;;;6517;;
05/07/1999;6522;;7044;;;6522;;
06/07/1999;6634;;7014;;;6634;;
07/07/1999;6806;;7096;;;6806;;
08/07/1999;7005;;7276;;;7005;;
09/07/1999;7249;;7336;;;7249;;
12/07/1999;7539;;7247;;;7539;;
13/07/1999;7806;;7154;;;7806;;
14/07/1999;7988;;7144;;;7988;;
15/07/1999;8031;;7157;;;8031;;
16/07/1999;8151;;7142;;;8151;;
19/07/1999;8178;;7132;;;8178;;
20/07/1999;8112;;7080;;;8112;;
21/07/1999;8024;;7042;;;8024;;
22/07/1999;7925;;6989;;;7925;;
23/07/1999;7742;;6989;;;7742;;
26/07/1999;7647;;6990;;;7647;;
27/07/1999;7603;;7038;;;7603;;
28/07/1999;7670;;7113;;;7670;;
29/07/1999;7704;;7211;;;7704;;
30/07/1999;7719;;7275;;;7719;;
02/08/1999;7701;;7385;;;7701;;
03/08/1999;7665;;7439;;;7665;;
04/08/1999;7679;;7444;;;7679;;
05/08/1999;7700;;7457;;;7700;;
06/08/1999;7846;;7519;;;7846;;
09/08/1999;7948;;7558;;;7948;;
10/08/1999;8101;;7566;;;8101;;
11/08/1999;8328;;7576;;;8328;;
12/08/1999;8979;;7551;;;8979;;
13/08/1999;9276;;7519;;;9276;;
16/08/1999;9407;;7532;;;9407;;
17/08/1999;9511;;7526;;;9511;;
18/08/1999;9684;;7497;;;9684;;
19/08/1999;9698;;7473;;;9698;;
20/08/1999;9688;;7424;;;9688;;
23/08/1999;9567;;7370;;;9567;;
24/08/1999;9472;;7273;;;9472;;
25/08/1999;9539;;7104;;;9539;;
26/08/1999;9658;;7003;;;9658;;
27/08/1999;9943;;6927;;;9943;;
31/08/1999;10255;;6876;;;10255;;
01/09/1999;10570;;6840;;;10570;;
02/09/1999;10740;;6790;;;10740;;
03/09/1999;10938;;6759;;;10938;;
06/09/1999;11269;;6776;;;11269;;
07/09/1999;11514;;6791;;;11514;;
08/09/1999;11778;;6850;;;11778;;
09/09/1999;12023;;7037;;;12023;;
10/09/1999;12168;;7274;;;12168;;
13/09/1999;12192;;7473;;;12192;;
14/09/1999;12205;;7670;;;12205;;
15/09/1999;12329;;7822;;;12329;;
16/09/1999;12324;;8033;;;12324;;
17/09/1999;12310;;8092;;;12310;;
20/09/1999;12294;;8131;;;12294;;
21/09/1999;12274;;8217;;;12274;;
22/09/1999;12310;;8244;;;12310;;
23/09/1999;12347;;8223;;;12347;;
24/09/1999;12345;;8197;;;12345;;
27/09/1999;12314;;8231;;;12314;;
28/09/1999;12228;;8228;;;12228;;
29/09/1999;12324;;8258;;;12324;;
30/09/1999;12435;;8460;;;12435;;
01/10/1999;12565;;8564;;;12565;;
04/10/1999;12653;;8599;;;12653;;
05/10/1999;12905;;8613;;;12905;;
06/10/1999;13409;;8597;;;13409;;
07/10/1999;14188;;8625;;;14188;;
08/10/1999;15456;;8618;;;15456;;
11/10/1999;15927;;8617;;;15927;;
12/10/1999;16263;;8616;;;16263;;
13/10/1999;16610;;8707;;;16610;;
14/10/1999;17058;;8835;;;17058;;
15/10/1999;17161;;9017;;;17161;;
18/10/1999;17516;;9133;;;17516;;
19/10/1999;17734;;9248;;;17734;;
20/10/1999;17811;;9386;;;17811;;
21/10/1999;17820;;9510;;;17820;;
22/10/1999;17713;;9530;;;17713;;
25/10/1999;17623;;9509;;;17623;;
26/10/1999;17626;;9402;;;17626;;
27/10/1999;17525;;9300;;;17525;;
28/10/1999;17270;;9157;;;17270;;
29/10/1999;16877;;9003;;;16877;;
01/11/1999;16463;;8840;;;16463;;
02/11/1999;16240;;8687;;;16240;;
03/11/1999;16024;;8657;;;16024;;
04/11/1999;15716;;8626;;;15716;;
05/11/1999;15492;;8681;;;15492;;
08/11/1999;15430;;8784;;;15430;;
09/11/1999;15380;;8959;;;15380;;
10/11/1999;15400;;9196;;;15400;;
11/11/1999;15555;;9405;;;15555;;
12/11/1999;15699;;9465;;;15699;;
15/11/1999;15778;;9555;;;15778;;
16/11/1999;15899;;9568;;;15899;;
17/11/1999;16068;;9539;;;16068;;
18/11/1999;16317;;9427;;;16317;;
19/11/1999;16587;;9370;;;16587;;
22/11/1999;16678;;9326;;;16678;;
23/11/1999;16775;;9263;;;16775;;
24/11/1999;16900;;9164;;;16900;;
25/11/1999;17082;;9124;;;17082;;
26/11/1999;17168;;9098;;;17168;;
29/11/1999;17209;;9098;;;17209;;
30/11/1999;17214;;9030;;;17214;;
01/12/1999;17184;;8931;;;17184;;
02/12/1999;17153;;8909;;;17153;;
03/12/1999;17126;;8894;;;17126;;
06/12/1999;17132;;8933;;;17132;;
07/12/1999;17200;;8966;;;17200;;
08/12/1999;17291;;8953;;;17291;;
09/12/1999;17430;;8958;;;17430;;
10/12/1999;17573;;8963;;;17573;;
13/12/1999;17593;;8930;;;17593;;
14/12/1999;17749;;8841;;;17749;;
15/12/1999;17699;;8737;;;17699;;
16/12/1999;17595;;8695;;;17595;;
17/12/1999;17447;;8639;;;17447;;
20/12/1999;17255;;8564;;;17255;;
21/12/1999;17175;;8514;;;17175;;
22/12/1999;17047;;8469;;;17047;;
23/12/1999;16990;;8425;;;16990;;
24/12/1999;16860;;8433;;;16860;;
04/01/2000;16499;;8731;;;16499;;
05/01/2000;16423;;9031;;;16423;;
06/01/2000;16507;;9490;;;16507;;
07/01/2000;16507;;9797;;;16507;;
10/01/2000;16402;;9973;;;16402;;
11/01/2000;16279;;10154;;;16279;;
12/01/2000;16163;;10296;;;16163;;
13/01/2000;16044;;10500;;;16044;;
14/01/2000;15910;;10541;;;15910;;
17/01/2000;15841;;10599;;;15841;;
18/01/2000;15790;;10573;;;15790;;
19/01/2000;15735;;10466;;;15735;;
20/01/2000;15590;;10301;;;15590;;
21/01/2000;15614;;10107;;;15614;;
24/01/2000;15637;;9962;;;15637;;
25/01/2000;15599;;9807;;;15599;;
26/01/2000;15423;;9637;;;15423;;
27/01/2000;15184;;9583;;;15184;;
28/01/2000;14968;;9575;;;14968;;
31/01/2000;14782;;9510;;;14782;;
01/02/2000;14683;;9469;;;14683;;
02/02/2000;14593;;9298;;;14593;;
03/02/2000;14524;;9141;;;14524;;
04/02/2000;14455;;9057;;;14455;;
07/02/2000;14457;;9002;;;14457;;
08/02/2000;14606;;8959;;;14606;;
09/02/2000;15177;;9007;;;15177;;
10/02/2000;15855;;9140;;;15855;;
11/02/2000;16465;;9274;;;16465;;
14/02/2000;16830;;9401;;;16830;;
15/02/2000;17355;;9627;;;17355;;
16/02/2000;17869;;9879;;;17869;;
17/02/2000;18206;;10010;;;18206;;
18/02/2000;18511;;10091;;;18511;;
21/02/2000;18777;;10150;;;18777;;
22/02/2000;19168;;10188;;;19168;;
23/02/2000;19441;;10218;;;19441;;
24/02/2000;19576;;10277;;;19576;;
25/02/2000;19773;;10359;;;19773;;
28/02/2000;19968;;10429;;;19968;;
29/02/2000;20168;;10526;;;20168;;
01/03/2000;20467;;10666;;;20467;;
02/03/2000;20625;;10849;;;20625;;
03/03/2000;20775;;11033;;;20775;;
06/03/2000;20850;;11177;;;20850;;
07/03/2000;20921;;11330;;;20921;;
08/03/2000;20985;;11541;;;20985;;
09/03/2000;21223;;11671;;;21223;;
10/03/2000;21307;;11758;;;21307;;
13/03/2000;21353;;11778;;;21353;;
14/03/2000;21365;;11621;;;21365;;
15/03/2000;21427;;11419;;;21427;;
16/03/2000;21515;;11216;;;21515;;
17/03/2000;21534;;11129;;;21534;;
20/03/2000;21440;;11092;;;21440;;
21/03/2000;21341;;11061;;;21341;;
22/03/2000;21253;;11023;;;21253;;
23/03/2000;21120;;11025;;;21120;;
24/03/2000;20991;;11100;;;20991;;
27/03/2000;20982;;11155;;;20982;;
28/03/2000;21030;;11222;;;21030;;
29/03/2000;21304;;11250;;;21304;;
30/03/2000;21534;;11282;;;21534;;
31/03/2000;21795;;11327;;;21795;;
03/04/2000;22033;;11368;;;22033;;
04/04/2000;22273;;11328;;;22273;;
05/04/2000;22458;;11240;;;22458;;
06/04/2000;22708;;11129;;;22708;;
07/04/2000;22833;;11044;;;22833;;
10/04/2000;23005;;10990;;;23005;;
11/04/2000;23028;;10946;;;23028;;
12/04/2000;22986;;10972;;;22986;;
13/04/2000;22897;;11019;;;22897;;
14/04/2000;22750;;11059;;;22750;;
17/04/2000;22618;;11119;;;22618;;
18/04/2000;22495;;11131;;;22495;;
19/04/2000;22197;;11125;;;22197;;
20/04/2000;22135;;11093;;;22135;;
25/04/2000;21976;;11027;;;21976;;
26/04/2000;21877;;10935;;;21877;;
27/04/2000;21713;;10886;;;21713;;
28/04/2000;21515;;10852;;;21515;;
02/05/2000;21392;;10819;;;21392;;
03/05/2000;21188;;10782;;;21188;;
04/05/2000;21108;;10774;;;21108;;
05/05/2000;21067;;10809;;;21067;;
08/05/2000;20972;;10850;;;20972;;
09/05/2000;20910;;10943;;;20910;;
10/05/2000;20849;;11035;;;20849;;
11/05/2000;20745;;11137;;;20745;;
12/05/2000;20718;;11216;;;20718;;
15/05/2000;20618;;11249;;;20618;;
16/05/2000;20519;;11288;;;20519;;
17/05/2000;20376;;11319;;;20376;;
18/05/2000;20322;;11345;;;20322;;
19/05/2000;20180;;11394;;;20180;;
22/05/2000;20085;;11417;;;20085;;
23/05/2000;19953;;11442;;;19953;;
24/05/2000;19713;;11407;;;19713;;
25/05/2000;19504;;11384;;;19504;;
26/05/2000;19354;;11353;;;19354;;
30/05/2000;19238;;11336;;;19238;;
31/05/2000;19179;;11332;;;19179;;
01/06/2000;19098;;11348;;;19098;;
02/06/2000;19059;;11361;;;19059;;
05/06/2000;18995;;11367;;;18995;;
06/06/2000;18919;;11361;;;18919;;
07/06/2000;18848;;11394;;;18848;;
08/06/2000;18821;;11469;;;18821;;
09/06/2000;18810;;11542;;;18810;;
12/06/2000;18838;;11589;;;18838;;
13/06/2000;18843;;11640;;;18843;;
14/06/2000;18835;;11655;;;18835;;
15/06/2000;18990;;11729;;;18990;;
16/06/2000;19236;;11770;;;19236;;
19/06/2000;19402;;11797;;;19402;;
20/06/2000;19621;;11818;;;19621;;
21/06/2000;20124;;11834;;;20124;;
22/06/2000;20468;;11817;;;20468;;
23/06/2000;20628;;11784;;;20628;;
26/06/2000;20650;;11785;;;20650;;
27/06/2000;20650;;11723;;;20650;;
28/06/2000;20625;;11676;;;20625;;
29/06/2000;20615;;11623;;;20615;;
30/06/2000;20582;;11614;;;20582;;
03/07/2000;20515;;11610;;;20515;;
04/07/2000;20391;;11596;;;20391;;
05/07/2000;20263;;11591;;;20263;;
06/07/2000;20223;;11564;;;20223;;
07/07/2000;20128;;11529;;;20128;;
10/07/2000;20113;;11520;;;20113;;
11/07/2000;20091;;11543;;;20091;;
12/07/2000;20138;;11566;;;20138;;
13/07/2000;20181;;11641;;;20181;;
14/07/2000;20228;;11740;;;20228;;
17/07/2000;20286;;11804;;;20286;;
18/07/2000;20303;;11841;;;20303;;
19/07/2000;20327;;11845;;;20327;;
20/07/2000;20342;;11832;;;20342;;
21/07/2000;20360;;11778;;;20360;;
24/07/2000;20389;;11763;;;20389;;
25/07/2000;20429;;11734;;;20429;;
26/07/2000;20477;;11681;;;20477;;
27/07/2000;20574;;11653;;;20574;;
28/07/2000;20727;;11628;;;20727;;
31/07/2000;21046;;11600;;;21046;;
01/08/2000;21210;;11578;;;21210;;
02/08/2000;21350;;11562;;;21350;;
03/08/2000;21524;;11530;;;21524;;
04/08/2000;21723;;11505;;;21723;;
07/08/2000;21793;;11491;;;21793;;
08/08/2000;21823;;11436;;;21823;;
09/08/2000;21778;;11372;;;21778;;
10/08/2000;21782;;11348;;;21782;;
11/08/2000;21785;;11322;;;21785;;
14/08/2000;21741;;11288;;;21741;;
15/08/2000;21668;;11268;;;21668;;
16/08/2000;21598;;11252;;;21598;;
17/08/2000;21532;;11240;;;21532;;
18/08/2000;21443;;11260;;;21443;;
21/08/2000;21356;;11259;;;21356;;
22/08/2000;21253;;11324;;;21253;;
23/08/2000;21195;;11384;;;21195;;
24/08/2000;21127;;11452;;;21127;;
25/08/2000;21128;;11506;;;21128;;
29/08/2000;21136;;11522;;;21136;;
30/08/2000;21137;;11539;;;21137;;
31/08/2000;21284;;11559;;;21284;;
01/09/2000;21432;;11590;;;21432;;
04/09/2000;21477;;11618;;;21477;;
05/09/2000;21547;;11650;;;21547;;
06/09/2000;21662;;11694;;;21662;;
07/09/2000;22053;;11735;;;22053;;
08/09/2000;22216;;11802;;;22216;;
11/09/2000;22286;;11839;;;22286;;
12/09/2000;22291;;11891;;;22291;;
13/09/2000;22256;;11949;;;22256;;
14/09/2000;22275;;12005;;;22275;;
15/09/2000;21667;;12047;;;21667;;
18/09/2000;22314;;12083;;;22314;;
19/09/2000;22402;;12117;;;22402;;
20/09/2000;22581;;12117;;;22581;;
21/09/2000;22743;;12092;;;22743;;
22/09/2000;22889;;12013;;;22889;;
25/09/2000;22969;;11971;;;22969;;
26/09/2000;23064;;11895;;;23064;;
27/09/2000;23208;;11801;;;23208;;
28/09/2000;23485;;11736;;;23485;;
29/09/2000;23665;;11705;;;23665;;
02/10/2000;23699;;11651;;;23699;;
03/10/2000;23614;;11604;;;23614;;
04/10/2000;23594;;11555;;;23594;;
05/10/2000;23579;;11478;;;23579;;
06/10/2000;23563;;11450;;;23563;;
09/10/2000;23511;;11453;;;23511;;
10/10/2000;23543;;11405;;;23543;;
11/10/2000;23568;;11340;;;23568;;
12/10/2000;23569;;11282;;;23569;;
13/10/2000;23630;;11264;;;23630;;
16/10/2000;23683;;11287;;;23683;;
17/10/2000;23769;;11324;;;23769;;
18/10/2000;23902;;11368;;;23902;;
19/10/2000;24018;;11430;;;24018;;
20/10/2000;24063;;11504;;;24063;;
23/10/2000;24085;;11568;;;24085;;
24/10/2000;24107;;11638;;;24107;;
25/10/2000;24201;;11686;;;24201;;
26/10/2000;24276;;11708;;;24276;;
27/10/2000;24370;;11702;;;24370;;
30/10/2000;24442;;11739;;;24442;;
31/10/2000;24540;;11712;;;24540;;
01/11/2000;24563;;11692;;;24563;;
02/11/2000;24745;;11661;;;24745;;
03/11/2000;24884;;11634;;;24884;;
06/11/2000;24926;;11608;;;24926;;
07/11/2000;24888;;11569;;;24888;;
08/11/2000;24849;;11512;;;24849;;
09/11/2000;24820;;11458;;;24820;;
10/11/2000;24783;;11370;;;24783;;
13/11/2000;24711;;11298;;;24711;;
14/11/2000;24580;;11179;;;24580;;
15/11/2000;24437;;11102;;;24437;;
16/11/2000;24319;;11018;;;24319;;
17/11/2000;24275;;10968;;;24275;;
20/11/2000;24316;;10884;;;24316;;
21/11/2000;24219;;10846;;;24219;;
22/11/2000;24145;;10806;;;24145;;
23/11/2000;24087;;10783;;;24087;;
24/11/2000;24012;;10743;;;24012;;
27/11/2000;23963;;10694;;;23963;;
28/11/2000;23844;;10637;;;23844;;
29/11/2000;23736;;10598;;;23736;;
30/11/2000;23628;;10528;;;23628;;
01/12/2000;23523;;10486;;;23523;;
04/12/2000;23349;;10468;;;23349;;
05/12/2000;23046;;10418;;;23046;;
06/12/2000;22830;;10377;;;22830;;
07/12/2000;22641;;10388;;;22641;;
08/12/2000;22228;;10386;;;22228;;
11/12/2000;22055;;10408;;;22055;;
12/12/2000;21344;;10458;;;21344;;
13/12/2000;20882;;10545;;;20882;;
14/12/2000;20602;;10587;;;20602;;
15/12/2000;20628;;10684;;;20628;;
18/12/2000;20603;;10786;;;20603;;
19/12/2000;20660;;10864;;;20660;;
20/12/2000;20658;;11015;;;20658;;
21/12/2000;20668;;11136;;;20668;;
22/12/2000;20686;;11185;;;20686;;
27/12/2000;20672;;11244;;;20672;;
28/12/2000;20634;;11265;;;20634;;
29/12/2000;20629;;11312;;;20629;;
02/01/2001;20615;;11357;;;20615;;
03/01/2001;20603;;11376;;;20603;;
04/01/2001;20575;;11409;;;20575;;
05/01/2001;20563;;11437;;;20563;;
08/01/2001;20580;;11494;;;20580;;
09/01/2001;20631;;11542;;;20631;;
10/01/2001;20604;;11570;;;20604;;
11/01/2001;20549;;11575;;;20549;;
12/01/2001;20485;;11564;;;20485;;
15/01/2001;20417;;11613;;;20417;;
16/01/2001;20329;;11666;;;20329;;
17/01/2001;20084;;11769;;;20084;;
18/01/2001;19803;;11850;;;19803;;
19/01/2001;19708;;11965;;;19708;;
22/01/2001;19547;;11990;;;19547;;
23/01/2001;19375;;11996;;;19375;;
24/01/2001;19101;;12030;;;19101;;
25/01/2001;18871;;12042;;;18871;;
26/01/2001;18577;;12037;;;18577;;
29/01/2001;18427;;12026;;;18427;;
30/01/2001;18163;;11975;;;18163;;
31/01/2001;17847;;11917;;;17847;;
01/02/2001;17592;;11794;;;17592;;
02/02/2001;17463;;11730;;;17463;;
05/02/2001;17335;;11640;;;17335;;
06/02/2001;17190;;11509;;;17190;;
07/02/2001;17088;;11314;;;17088;;
08/02/2001;17086;;11147;;;17086;;
09/02/2001;17033;;11027;;;17033;;
12/02/2001;17039;;10946;;;17039;;
13/02/2001;17055;;10933;;;17055;;
14/02/2001;17067;;10913;;;17067;;
15/02/2001;17226;;10988;;;17226;;
16/02/2001;17310;;11110;;;17310;;
