"Actuals","VAR_fcs","VECM_fcs","ARIMA_fcs","RW_fcs","VAR_res","VECM_res","ARIMA_res","RW_res"
9.81825640817347,9.81163103629999,9.82012318271687,9.83269392239053,9.85817632982613,-0.006625371873481,0.00186677454339801,0.0144375142170574,0.0399199216526576
9.82498532438117,9.78447532717357,9.80257397171284,9.81925752641915,9.85817632982613,-0.0405099972076037,-0.0224113526683318,-0.0057277979620185,0.0331910054449551
9.85293082891897,9.86180495549691,9.86604841124355,9.83459916935876,9.82498532438117,0.00887412657793973,0.0131175823245755,-0.0183316595602196,-0.0279455045378043
9.85150981344342,9.89032264897446,9.9012152903619,9.83966610133742,9.82498532438117,0.0388128355310418,0.0497054769184828,-0.0118437121059962,-0.0265244890622451
9.81912720391805,9.82760598017018,9.8343544769245,9.84683911252204,9.85150981344342,0.00847877625212945,0.0152272730064471,0.0277119086039868,0.0323826095253619
9.81613066131788,9.81412331025178,9.8298022033029,9.84437815230578,9.85150981344342,-0.00200735106609606,0.0136715419850209,0.0282474909879031,0.0353791521255395
9.89611040819708,9.8450485359307,9.85108152576387,9.81843371288734,9.81613066131788,-0.0510618722663772,-0.0450288824332112,-0.0776766953097354,-0.0799797468792018
9.95046655373012,9.86141726960534,9.87790295347297,9.81964681773569,9.81613066131788,-0.0890492841247834,-0.0725636002571548,-0.130819735994436,-0.134335892412246
10.0198473536523,9.99462123370914,9.99938340599117,9.97844005086724,9.95046655373012,-0.0252261199431842,-0.0204639476611579,-0.0414073027850836,-0.069380799922202
10.0377561733412,10.0276448965162,10.0401254235832,9.9931638439216,9.95046655373012,-0.0101112768250022,0.00236925024205448,-0.044592329419558,-0.08728961961104
10.0820938830826,10.0392497279314,10.0428819459256,10.0418649327737,10.0377561733412,-0.0428441551511991,-0.0392119371570114,-0.0402289503089115,-0.0443377097414395
10.1649283137827,10.0417800362502,10.0491060654362,10.0440293791641,10.0377561733412,-0.123148277532511,-0.115822248346456,-0.120898934618566,-0.12717214044152
10.1679649673433,10.2302305805649,10.2338371971019,10.2188026935656,10.1649283137827,0.0622656132216175,0.0658722297585683,0.0508377262222641,-0.00303665356063298
10.1708776279699,10.2702530723526,10.2794857849838,10.2472065983489,10.1649283137827,0.0993754443826909,0.108608157013933,0.0763289703790164,-0.005949314187216
10.24195779182,10.1978156876867,10.2007891609809,10.1746646756284,10.1708776279699,-0.0441421041333037,-0.0411686308391221,-0.0672931161916281,-0.071080163850116
10.2583608745282,10.2270246222101,10.2337389385104,10.1766597610502,10.1708776279699,-0.0313362523181251,-0.0246219360178461,-0.0817011134779868,-0.0874832465583353
10.2691717906324,10.2646631261393,10.2699010117052,10.2601818190773,10.2583608745282,-0.00450866449317999,0.000729221072750974,-0.00898997155514358,-0.0108109161042158
10.2629785277343,10.2755565341402,10.2886710302687,10.2611403573042,10.2583608745282,0.0125780064058514,0.0256925025343886,-0.00183817043012446,-0.0046176532061093
10.4130123305691,10.2689138939495,10.2743139301182,10.2570107455131,10.2629785277343,-0.14409843661959,-0.138698400450824,-0.156001585055922,-0.150033802834729
10.4284527398558,10.2788693265396,10.2922672163826,10.253868573849,10.2629785277343,-0.14958341331624,-0.136185523473268,-0.174584166006868,-0.165474212121495
10.4562801151234,10.429439277113,10.4321069611305,10.4182122160733,10.4284527398558,-0.0268408380103917,-0.0241731539929031,-0.0380678990500964,-0.0278273752675879
10.472968802094,10.4339787514782,10.4406040191647,10.4128211595491,10.4284527398558,-0.0389900506158511,-0.0323647829292923,-0.0601476425449547,-0.04451606223817
10.5308420925461,10.4896799695475,10.4926988565393,10.4807397797168,10.472968802094,-0.041162122998573,-0.0381432360067393,-0.0501023128292868,-0.0578732904520578
10.5665878117438,10.5056747534033,10.5102412945859,10.4848386376242,10.472968802094,-0.0609130583405104,-0.0563465171578592,-0.0817491741195742,-0.0936190096497693
10.5863065808774,10.592082914626,10.5942216881778,10.5845887910737,10.5665878117438,0.00577633374858166,0.00791510730042688,-0.00171778980370973,-0.0197187691336254
10.6117203705141,10.6074884193986,10.6133505316269,10.5940896881619,10.5665878117438,-0.00423195111549113,0.00163016111281067,-0.0176306823522285,-0.0451325587703373
10.6680014514444,10.6276418080783,10.6290623290874,10.6279701566372,10.6117203705141,-0.0403596433661111,-0.0389391223569984,-0.040031294807207,-0.0562810809302974
10.7103428107104,10.6427270998891,10.6469181520674,10.6365477795071,10.6117203705141,-0.0676157108213093,-0.0634246586430276,-0.0737950312033693,-0.0986224401963138
10.6655075973824,10.7396611479432,10.7414217949921,10.7336442218337,10.7103428107104,0.074153550560716,0.0759141976096682,0.0681366244512045,0.0448352133279784
10.6337859987269,10.7592127380987,10.7643112403307,10.7459474374004,10.7103428107104,0.125426739371868,0.130525241603806,0.112161438673565,0.0765568119835613
10.6541958436206,10.641654791428,10.6431176577141,10.6180479887509,10.6337859987269,-0.0125410521926348,-0.011078185906495,-0.0361478548697391,-0.020409844893738
10.6461627202453,10.6555326391189,10.6589869422719,10.6097481431243,10.6337859987269,0.00936991887366645,0.0128242220266088,-0.0364145771210165,-0.0123767215184039
10.5727261880444,10.6145962487033,10.6165113362957,10.6369248465054,10.6461627202453,0.04187006065888,0.043785148251315,0.0641986584609615,0.0734365322008728
10.5380517756638,10.5963739576589,10.6025976472074,10.6320562103153,10.6461627202453,0.0583221819951252,0.0645458715436433,0.0940044346515556,0.108110944581494
10.4499312539039,10.5191579024886,10.521582406049,10.5229949691588,10.5380517756638,0.0692266485847544,0.0716511521451739,0.0730637152548965,0.0881205217599117
