"Actuals","VAR_fcs","VECM_fcs","ARIMA_fcs","RW_fcs","VAR_res","VECM_res","ARIMA_res","RW_res"
8.78063379949498,8.78834129025782,8.79242848170015,8.78902425674407,8.77292009262647,0.00770749076283117,0.0117946822051689,0.00839045724908161,-0.00771370686851647
8.73456008995299,8.79846404081943,8.80683299783267,8.79733527787224,8.77292009262647,0.0639039508664325,0.0722729078796753,0.062775187919252,0.0383600026734747
8.69316127423802,8.81033953719738,8.81715242766155,8.80162442145577,8.77292009262647,0.117178262959367,0.123991153423537,0.108463147217753,0.0797588183884503
8.67351294567119,8.81849186343873,8.82429749983413,8.80383795844435,8.77292009262647,0.14497891776754,0.150784554162938,0.130325012773158,0.0994071469552757
8.68016201969438,8.82298297219749,8.82917911930764,8.80498031842937,8.77292009262647,0.14282095250311,0.14901709961326,0.12481829873499,0.0927580729320905
8.70084719344397,8.82517921106838,8.83245597413136,8.80556986644329,8.77292009262647,0.124332017624404,0.13160878068739,0.104722672999321,0.0720728991824959
8.77338459677665,8.82661506948879,8.83464898174561,8.80587411980063,8.77292009262647,0.0532304727121407,0.0612643849689647,0.0324895230239779,-0.000464504150180289
8.82849412946665,8.82742428033369,8.83611734267878,8.80603113857308,8.77292009262647,-0.0010698491329606,0.00762321321212411,-0.0224629908935743,-0.0555740368401842
8.84231554684186,8.82758663873452,8.83708880863485,8.80611217266624,8.77292009262647,-0.0147289081073385,-0.00522673820701058,-0.036203374175626,-0.0693954542153961
8.82585367025321,8.82721099256553,8.83771459885957,8.80615399266108,8.77292009262647,0.00135732231232311,0.011860928606362,-0.0196996775921292,-0.0529335776267423
8.81433042263877,8.80130817342256,8.79623120918404,8.81372841681749,8.82585367025321,-0.0130222492162115,-0.0180992134547324,-0.000602005821287221,0.011523247614436
8.82922635473185,8.78637330438299,8.77508499483935,8.80748432109887,8.82585367025321,-0.0428530503488584,-0.0541413598925011,-0.021742033632977,-0.0033726844786397
8.8805855231025,8.77625986862224,8.76267791607639,8.80426882283734,8.82585367025321,-0.104325654480256,-0.117907607026103,-0.0763167002651546,-0.0547318528492848
9.02256396449926,8.7693375036536,8.75480826650811,8.8026129499078,8.82585367025321,-0.253226460845665,-0.267755697991152,-0.219951014591466,-0.196710294246055
9.14931567013841,8.76443618806544,8.74863699395802,8.80176023131311,8.82585367025321,-0.384879482072964,-0.400678676180387,-0.347555438825296,-0.323461999885199
9.22719748904261,8.76065708137406,8.74350333222337,8.80132111005643,8.82585367025321,-0.466540407668546,-0.483694156819238,-0.425876378986175,-0.401343818789396
9.27322127001538,8.75736138836337,8.73928916183456,8.80109497745035,8.82585367025321,-0.515859881652011,-0.533932108180823,-0.472126292565031,-0.447367599762174
9.28033274379622,8.75437258440332,8.73583644224476,8.80097852680089,8.82585367025321,-0.525960159392893,-0.544496301551455,-0.479354216995324,-0.454479073543007
9.26917515769708,8.75170744056477,8.73293981127416,8.80091855865214,8.82585367025321,-0.517467717132302,-0.53623534642292,-0.468256599044937,-0.443321487443866
9.13324332159122,8.74935430285017,8.73043632047497,8.80088767708229,8.82585367025321,-0.383889018741042,-0.402807001116248,-0.332355644508924,-0.307389651338006
9.17139162183761,9.05267490009012,9.04997139400112,9.04024701797071,9.13324332159122,-0.118716721747486,-0.121420227836488,-0.131144603866899,-0.0381483002463927
9.29917508567667,9.01526959415637,9.01281142206238,8.99211619307122,9.13324332159122,-0.283905491520306,-0.286363663614292,-0.307058892605452,-0.165931764085457
9.40648264778745,9.00125135806113,8.9940292597709,8.96720578034171,9.13324332159122,-0.405231289726315,-0.412453388016546,-0.439276867445734,-0.273239326196233
9.48440514846878,8.98308230134913,8.98328082141248,8.95431323873973,9.13324332159122,-0.501322847119647,-0.501124327056299,-0.530091909729046,-0.351161826877563
9.57261958263475,8.967175371077,8.97783702809863,8.9476406223217,9.13324332159122,-0.605444211557751,-0.594782554536113,-0.624978960313046,-0.439376261043531
9.63567346472181,8.95578863157323,8.97616658156409,8.94418716750754,9.13324332159122,-0.679884833148584,-0.65950688315772,-0.691486297214276,-0.502430143130598
9.62918227712599,8.94894346129404,8.97721762412718,8.94239981013431,9.13324332159122,-0.680238815831947,-0.651964652998807,-0.686782466991673,-0.49593895553477
9.60150369537349,8.94381174147657,8.98002376265804,8.9414747520254,9.13324332159122,-0.657691953896919,-0.621479932715445,-0.660028943348092,-0.468260373782272
9.58465875108751,8.93958286113784,8.98383371001573,8.94099598235253,9.13324332159122,-0.645075889949672,-0.600825041071785,-0.64366276873498,-0.451415429496294
9.53596830684272,8.93614157878732,8.98816809208976,8.94074819208136,9.13324332159122,-0.599826728055394,-0.547800214752954,-0.595220114761357,-0.402724985251501
9.47799829259704,9.48947608867907,9.4813354407327,9.5037306023319,9.53596830684272,0.0114777960820334,0.00333714813566743,0.025732309734865,0.0579700142456812
9.4501443641835,9.45814484948152,9.44181766935032,9.48716213000493,9.53596830684272,0.00800048529802311,-0.00832669483318149,0.0370177658214264,0.0858239426592178
9.42746585096483,9.44039491068276,9.41443562516514,9.47864681294326,9.53596830684272,0.0129290597179335,-0.0130302257996924,0.0511809619784351,0.108502455877888
9.42383754623859,9.42875675213248,9.39410314661017,9.47427039107228,9.53596830684272,0.00491920589389494,-0.029734399628417,0.0504328448336882,0.11213076060413
9.45508884704278,9.42097106084344,9.37753440923931,9.47202114207143,9.53596830684272,-0.0341177861993369,-0.0775544378034674,0.0169322950286492,0.0808794597999398
