Spot,Forw,Lookback,Horizon,Exog_Col,Epochs,Batchsize,MLP,LSTM,MLP_POINT,LSTM_POINT,RW
CSZ,1MON,10,3,[],2,32,-105.68125988285173,-378.72516906391934,-378.72516906391934,-378.72516906391934,0
CSZ,1MON,10,3,[],2,32,-283.4283616994731,-112.40103108887433,-112.40103108887433,-112.40103108887433,0
CSZ,1MON,10,3,[],2,32,-269.07614992046206,-48.4852021319041,-361.2992863385123,-145.6875524039932,0
