MLP,LSTM,MLP_POINT,LSTM_POINT,RW
-860.151591894274,-152.92490412352078,-152.92490412352078,-152.92490412352078,0
-404.5109059572776,-91.38808494131115,-91.38808494131115,-91.38808494131115,0
