Segment,Horizon,Model,RMSE,MAE,MAPE,CorrDir,Reduction

smx,10,avg_1,0.05614231703577196,0.04679005656857234,0.46356670838683883,81.42857142857143,6.023985510007421
smx,10,eigen_1,0.05587609143660974,0.046521824757822745,0.46095367978118995,81.42857142857143,6.4696176478569285
smx,10,avg_2,0.053087544878317135,0.04415460880641853,0.4384739157689671,87.14285714285714,11.137335433732263
smx,10,eigen_2,0.053074856006183814,0.044181531225960254,0.43874121609827516,88.57142857142857,11.158575198929393
smx,10,avg_3,0.04787407180589372,0.038031060900384245,0.37737884300941094,92.85714285714286,19.86411136435649
smx,10,eigen_3,0.04787925217970874,0.03803516557365966,0.3774200514496762,92.85714285714286,19.8554399929132
smx,10,avg_4,0.059486578138285943,0.04851558971776379,0.481836295315681,81.42857142857143,0.42606318649654534
smx,10,eigen_4,0.05958962012575433,0.04860215575215461,0.4827044224219303,81.42857142857143,0.25358232324259256
smx,20,avg_1,0.09816628320784573,0.08383309398962581,0.8403743367389095,100.0,14.576414442151425
smx,20,eigen_1,0.09848954264842906,0.08411572524613915,0.8432061371946665,100.0,14.295116428437435
smx,20,avg_2,0.06802078096166424,0.05466843995374578,0.5461023066411491,100.0,40.808811209773864
smx,20,eigen_2,0.06806556272451547,0.054693491897787716,0.5463335901952631,100.0,40.76984244549607
smx,20,avg_3,0.07528769575232282,0.06186209563675361,0.6204634706510586,97.14285714285714,34.48519482055924
smx,20,eigen_3,0.07538426752643061,0.061958526611717475,0.6214205552413711,97.14285714285714,34.40115876522133
smx,20,avg_4,0.0739077817316629,0.05646015503469034,0.5622824120842034,97.14285714285714,35.68598596344826
smx,20,eigen_4,0.07386030750226207,0.05645648688789923,0.5622604285213885,97.14285714285714,35.72729769253174
smx,10,avg_1,0.05614231703577196,0.04679005656857234,0.46356670838683883,81.42857142857143,6.023985510007421
smx,10,eigen_1,0.05587609143660974,0.046521824757822745,0.46095367978118995,81.42857142857143,6.4696176478569285
smx,10,avg_2,0.053087544878317135,0.04415460880641853,0.4384739157689671,87.14285714285714,11.137335433732263
smx,10,eigen_2,0.053074856006183814,0.044181531225960254,0.43874121609827516,88.57142857142857,11.158575198929393
smx,10,avg_3,0.04787407180589372,0.038031060900384245,0.37737884300941094,92.85714285714286,19.86411136435649
smx,10,eigen_3,0.04787925217970874,0.03803516557365966,0.3774200514496762,92.85714285714286,19.8554399929132
smx,10,avg_4,0.059486578138285943,0.04851558971776379,0.481836295315681,81.42857142857143,0.42606318649654534
smx,10,eigen_4,0.05958962012575433,0.04860215575215461,0.4827044224219303,81.42857142857143,0.25358232324259256
smx,20,avg_1,0.09816628320784573,0.08383309398962581,0.8403743367389095,100.0,14.576414442151425
smx,20,eigen_1,0.09848954264842906,0.08411572524613915,0.8432061371946665,100.0,14.295116428437435
smx,20,avg_2,0.06802078096166424,0.05466843995374578,0.5461023066411491,100.0,40.808811209773864
smx,20,eigen_2,0.06806556272451547,0.054693491897787716,0.5463335901952631,100.0,40.76984244549607
smx,20,avg_3,0.07528769575232282,0.06186209563675361,0.6204634706510586,97.14285714285714,34.48519482055924
smx,20,eigen_3,0.07538426752643061,0.061958526611717475,0.6214205552413711,97.14285714285714,34.40115876522133
smx,20,avg_4,0.0739077817316629,0.05646015503469034,0.5622824120842034,97.14285714285714,35.68598596344826
smx,20,eigen_4,0.07386030750226207,0.05645648688789923,0.5622604285213885,97.14285714285714,35.72729769253174
smx,10,avg_1,0.05614231703577196,0.04679005656857234,0.46356670838683883,81.42857142857143,6.023985510007421
smx,10,eigen_1,0.05587609143660974,0.046521824757822745,0.46095367978118995,81.42857142857143,6.4696176478569285
smx,10,avg_2,0.053087544878317135,0.04415460880641853,0.4384739157689671,87.14285714285714,11.137335433732263
smx,10,eigen_2,0.053074856006183814,0.044181531225960254,0.43874121609827516,88.57142857142857,11.158575198929393
smx,10,avg_3,0.04787407180589372,0.038031060900384245,0.37737884300941094,92.85714285714286,19.86411136435649
smx,10,eigen_3,0.04787925217970874,0.03803516557365966,0.3774200514496762,92.85714285714286,19.8554399929132
smx,10,avg_4,0.059486578138285943,0.04851558971776379,0.481836295315681,81.42857142857143,0.42606318649654534
smx,10,eigen_4,0.05958962012575433,0.04860215575215461,0.4827044224219303,81.42857142857143,0.25358232324259256
smx,20,avg_1,0.09816628320784573,0.08383309398962581,0.8403743367389095,100.0,14.576414442151425
smx,20,eigen_1,0.09848954264842906,0.08411572524613915,0.8432061371946665,100.0,14.295116428437435
smx,20,avg_2,0.06802078096166424,0.05466843995374578,0.5461023066411491,100.0,40.808811209773864
smx,20,eigen_2,0.06806556272451547,0.054693491897787716,0.5463335901952631,100.0,40.76984244549607
smx,20,avg_3,0.07528769575232282,0.06186209563675361,0.6204634706510586,97.14285714285714,34.48519482055924
smx,20,eigen_3,0.07538426752643061,0.061958526611717475,0.6214205552413711,97.14285714285714,34.40115876522133
smx,20,avg_4,0.0739077817316629,0.05646015503469034,0.5622824120842034,97.14285714285714,35.68598596344826
smx,20,eigen_4,0.07386030750226207,0.05645648688789923,0.5622604285213885,97.14285714285714,35.72729769253174
smx,10,avg_1,0.05614231703577196,0.04679005656857234,0.46356670838683883,81.15942028985508,6.023985510007421
smx,10,eigen_1,0.05587609143660974,0.046521824757822745,0.46095367978118995,81.15942028985508,6.4696176478569285
smx,10,avg_2,0.053087544878317135,0.04415460880641853,0.4384739157689671,86.95652173913044,11.137335433732263
smx,10,eigen_2,0.053074856006183814,0.044181531225960254,0.43874121609827516,88.40579710144928,11.158575198929393
smx,10,avg_3,0.04787407180589372,0.038031060900384245,0.37737884300941094,92.7536231884058,19.86411136435649
smx,10,eigen_3,0.04787925217970874,0.03803516557365966,0.3774200514496762,92.7536231884058,19.8554399929132
smx,10,avg_4,0.059486578138285943,0.04851558971776379,0.481836295315681,81.15942028985508,0.42606318649654534
smx,10,eigen_4,0.05958962012575433,0.04860215575215461,0.4827044224219303,81.15942028985508,0.25358232324259256
smx,20,avg_1,0.09816628320784573,0.08383309398962581,0.8403743367389095,100.0,14.576414442151425
smx,20,eigen_1,0.09848954264842906,0.08411572524613915,0.8432061371946665,100.0,14.295116428437435
