Actual,VAR_pred,VECM_pred,ARIMA_pred,RW_pred,VAR_res,VECM_res,ARIMA_res,RW_res,MLP_pred_[],LSTM_pred_[],MLP_res_[],LSTM_res_[],MLP_pred_[4],LSTM_pred_[4],MLP_res_[4],LSTM_res_[4],"MLP_pred_[2, 4]","LSTM_pred_[2, 4]","MLP_res_[2, 4]","LSTM_res_[2, 4]",avg_1_pred,avg_1_res,eigen_1_pred,eigen_1_res,avg_2_pred,avg_2_res,eigen_2_pred,eigen_2_res,avg_3_pred,avg_3_res,eigen_3_pred,eigen_3_res,avg_4_pred,avg_4_res,eigen_4_pred,eigen_4_res
9.81825640817347,9.81536705155999,9.82152689416289,9.83328536221462,9.85817632982613,-0.0028893566134762,0.0032704859894252,0.0150289540411546,0.0399199216526576,9.796712,9.801548,-0.0215444864815719,-0.0167084040230758,9.982897239828889,9.774435547741552,0.1646408316554204,-0.0438208604319143,9.849497286704986,9.905934343997648,0.0312408785315199,0.0876779358241801,9.863730619080268,-0.04547421090679826,9.86163414018106,-0.0433777320075901,9.842355969578952,-0.02409956140548175,9.841302062562903,-0.023045654389433068,9.823393102645833,-0.005136694472362535,9.823304812797817,-0.005048404624346858,9.851837403045513,-0.033580994872043135,9.85128048204377,-0.033024073870299375
9.82498532438117,9.79004837857055,9.8077140958795,9.82043884650793,9.85817632982613,-0.0349369458106192,-0.0172712285016701,-0.0045464778732444,0.0331910054449551,9.778082,9.775928,-0.0469034304602722,-0.0490577807410339,9.987668242566322,9.755261210334288,0.1626829181851512,-0.0697241140468829,9.882072991611691,9.894082788348287,0.0570876672305225,0.0690974639671164,9.850898442113895,-0.02591311773272409,9.848753250644805,-0.02376792626363411,9.832366283757619,-0.007380959376448004,9.830849991335647,-0.005864666954476405,9.806067106985994,0.01891821739517674,9.805822339861193,0.01916298451997811,9.845515872143432,-0.020530547762261264,9.844786786440084,-0.01980146205891309
9.85293082891897,9.77271612190161,9.8048830451797,9.81380861146129,9.85817632982613,-0.0802147070173689,-0.0480477837392783,-0.0391222174576829,0.0052455009071508,9.751806,9.788307,-0.1011245697637015,-0.0646236389775687,9.988293736305993,9.749874221905342,0.1353629073870177,-0.1030566070136327,9.90251167304214,9.906298592795014,0.0495808441231648,0.0533677638760394,9.855590818987357,-0.0026599900683876854,9.853071899673441,-0.00014107075447178374,9.830944333621233,0.021986495297737108,9.828996141786725,0.023934687132245003,9.797135926180866,0.0557949027381035,9.79669596210477,0.05623486681419898,9.847848537341415,0.005082291577554798,9.846948875290158,0.005981953628811709
9.85150981344342,9.76486615954719,9.81064037308469,9.81038667061933,9.85817632982613,-0.0866436538962301,-0.0408694403587244,-0.0411231428240821,0.0066665163827099,9.795674,9.7415495,-0.0558354894077695,-0.1099603215610898,9.979176876413131,9.826401332195914,0.1276670629697172,-0.0251084812474999,9.91455791729668,9.866028386723766,0.0630481038532657,0.0145185732803518,9.838334379904229,0.013175433539190706,9.836958674298968,0.014551139144451497,9.8343645795423,0.017145233901119994,9.832426752902892,0.01908306054052744,9.795297734417069,0.05621207902635028,9.794676862321644,0.05683295112177511,9.853898002104915,-0.0023881886614951497,9.853338302044467,-0.00182848860104734
9.81912720391805,9.76390965095008,9.82141886978351,9.80862056745052,9.85817632982613,-0.0552175529679708,0.002291665865453,-0.0105066364675377,0.0390491259080719,9.801378,9.776003,-0.0177489537959836,-0.0431243200069211,9.978874656310904,9.761343418189409,0.1597474523928497,-0.0577837857286454,9.942958683532744,9.961474928178076,0.1238314796146902,0.1423477242600217,9.891446898980792,-0.07231969506274183,9.887968241922614,-0.06884103800456387,9.846220197155027,-0.02709299323697678,9.843533525402062,-0.024406321484011784,9.797983029394702,0.02114417452334827,9.797208001139586,0.021919202778464708,9.870338781035189,-0.05121157711713842,9.869186701774833,-0.05005949785678254
9.81613066131788,9.76401535028496,9.83194730296547,9.80770906121854,9.85817632982613,-0.0521153110329156,0.0158166416475982,-0.0084216000993393,0.0420456685082495,9.793582,9.764058,-0.022548698732427,-0.0520725482197317,10.011723151646962,9.795374080846695,0.1955924903290853,-0.0207565804711791,9.975940065160945,9.943035200682225,0.1598094038430684,0.1269045393643466,9.887491251823846,-0.07136059050596621,9.884732094498558,-0.06860143318067813,9.854153801422866,-0.0380231401049862,9.851297549410983,-0.03516688809310331,9.80122390482299,0.014906756494889706,9.800312078792393,0.015818582525486846,9.880618749722803,-0.06448808840492326,9.879518486483436,-0.06338782516555597
9.89611040819708,9.76076392701869,9.8385222434167,9.80723862233048,9.85817632982613,-0.135346481178388,-0.0575881647803751,-0.0888717858665995,-0.0379340783709523,9.778632,9.763032,-0.1174782441956132,-0.1330784486633867,9.993339114147474,9.74488589235282,0.0972287059503962,-0.1512245158442589,9.97309919619999,9.927918083254095,0.0769887880029127,0.031807675057017,9.883220163335398,0.012890244861681666,9.88099978477565,0.015110623421429992,9.843047897635586,0.053062510561494136,9.840500536396396,0.05560987180068366,9.802174930921957,0.09393547727512264,9.801132631480993,0.09497777671608709,9.863484380992396,0.03262602720468344,9.862297450085329,0.033812958111751
9.95046655373012,9.75452266819969,9.84105104891525,9.80699582338996,9.85817632982613,-0.195943885530431,-0.109415504814868,-0.143470730340159,-0.092290223903996,9.791501,9.760458,-0.158965508503071,-0.1900085611764108,10.038466574535894,9.801957045904912,0.0880000208057723,-0.1485095078252101,10.010171981504286,9.962500665468864,0.0597054277741637,0.0120341117387408,9.901775857192057,0.04869069653806335,9.898759339587034,0.05170721414308588,9.863069423102095,0.08739713062802501,9.859714650561413,0.09075190316870696,9.800856513501634,0.14961004022848634,9.79969635296558,0.15077020076454062,9.894175877902326,0.056290675827794345,9.892910565057688,0.057555988672431724
10.0198473536523,9.75259597035895,9.84579208472453,9.80687051205408,9.85817632982613,-0.267251383293372,-0.174055268927797,-0.212976841598248,-0.161671023826198,9.78232,9.772181,-0.237527331069316,-0.2476667964013472,10.022256257951463,9.85074012442876,0.0024089042991413,-0.1691072292235631,9.999564621871292,9.949696720328808,-0.0202827317810303,-0.0701506333235162,9.89774440252667,0.12210295112563152,9.89516366022844,0.12468369342386154,9.864668587968653,0.1551787656836474,9.86142405941521,0.15842329423709067,9.80175285571252,0.21809449793978075,9.800504196145408,0.21934315750689315,9.896126454096722,0.12372089955557897,9.895044803669853,0.12480254998244789
10.0377561733412,9.75239632770286,9.8530567080073,9.80680583742713,9.85817632982613,-0.285359845638304,-0.184699465333866,-0.230950335914036,-0.179579843515036,9.769307,9.755048,-0.2684490368055172,-0.2827083751844235,10.025262612226824,9.852411503466032,-0.0124935611143381,-0.1853446698751302,10.008451024787322,9.971291308756994,-0.0293051485538402,-0.0664648645841676,9.912174008382147,0.12558216495905405,9.909237344069775,0.12851882927142633,9.866003369152716,0.17175280418848438,9.86263254000275,0.17512363333845116,9.804086291045763,0.2336698822954375,9.802739316437894,0.23501685690330731,9.896961908206196,0.14079426513500515,9.895691798640899,0.1420643747003023
