Row Labels;4TC_PCURMON;4TC_P+1MON;Days until M CURM;Days until M +1MON;CURM days away;1MON  days away;22;Total days;Perpetual
24/02/2010;25503;26480;4;35;18;13;;31;26070
25/02/2010;25758;27513;3;34;19;12;;31;26834
26/02/2010;27460;27305;2;33;20;11;;31;27360
01/03/2010;28198;27953;30;60;8;38;;46;28155
02/03/2010;28978;28568;29;59;7;37;;44;28913
03/03/2010;31315;30500;28;58;6;36;;42;31199
04/03/2010;32294;31094;27;57;5;35;;40;32144
05/03/2010;31913;31015;26;56;4;34;;38;31818
08/03/2010;31248;30390;23;53;1;31;;32;31221
09/03/2010;30470;29533;22;52;0;30;;30;30470
10/03/2010;31398;30635;21;51;1;29;;30;31373
11/03/2010;32060;31273;20;50;2;28;;30;32008
12/03/2010;32958;32142;19;49;3;27;;30;32876
15/03/2010;32638;32055;16;46;6;24;;30;32521
16/03/2010;32263;31553;15;45;7;23;;30;32097
17/03/2010;32945;32218;14;44;8;22;;30;32751
18/03/2010;32950;32380;13;43;9;21;;30;32779
19/03/2010;32963;32735;12;42;10;20;;30;32887
22/03/2010;32910;32778;9;39;13;17;;30;32853
23/03/2010;32633;32173;8;38;14;16;;30;32418
24/03/2010;32493;31830;7;37;15;15;;30;32162
25/03/2010;31940;30820;6;36;16;14;;30;31343
26/03/2010;31775;30650;5;35;17;13;;30;31138
29/03/2010;31873;30203;2;32;20;10;;30;30760
30/03/2010;32125;30090;1;31;21;9;;30;30701
31/03/2010;30139;29261;0;30;22;8;;30;29495
01/04/2010;30711;29569;29;60;7;38;;45;30533
06/04/2010;30713;29783;24;55;2;33;;35;30660
07/04/2010;30803;30190;23;54;1;32;;33;30784
08/04/2010;31163;30310;22;53;0;31;;31;31163
09/04/2010;31403;30373;21;52;1;30;;31;31370
12/04/2010;30925;29115;18;49;4;27;;31;30691
13/04/2010;31495;30050;17;48;5;26;;31;31262
14/04/2010;31750;30653;16;47;6;25;;31;31538
15/04/2010;31595;30178;15;46;7;24;;31;31275
16/04/2010;31328;29853;14;45;8;23;;31;30947
19/04/2010;31190;29058;11;42;11;20;;31;30433
20/04/2010;31245;28925;10;41;12;19;;31;30347
21/04/2010;31173;28730;9;40;13;18;;31;30149
