Baltic Dry Index | Price History                                          13-Feb-2024 20:16,Unnamed: 1
,
,
.BADI,
Interval: Monthly,
History Period: 13-Feb-2004 - 13-Feb-2024,
,
,
.BADI History     Monthly     29-Feb-2004 - 29-Feb-2024,
Exchange Date,Trade Price
2024-02-29 00:00:00,1572
2024-01-31 00:00:00,1398
2023-12-31 00:00:00,2094
2023-11-30 00:00:00,2937
2023-10-31 00:00:00,1459
2023-09-30 00:00:00,1701
2023-08-31 00:00:00,1086
2023-07-31 00:00:00,1127
2023-06-30 00:00:00,1091
2023-05-31 00:00:00,977
2023-04-30 00:00:00,1576
2023-03-31 00:00:00,1389
2023-02-28 00:00:00,990
2023-01-31 00:00:00,681
2022-12-31 00:00:00,1515
2022-11-30 00:00:00,1355
2022-10-31 00:00:00,1463
2022-09-30 00:00:00,1760
2022-08-31 00:00:00,965
2022-07-31 00:00:00,1895
2022-06-30 00:00:00,2240
2022-05-31 00:00:00,2566
2022-04-30 00:00:00,2404
2022-03-31 00:00:00,2358
2022-02-28 00:00:00,2040
2022-01-31 00:00:00,1418
2021-12-31 00:00:00,2217
2021-11-30 00:00:00,3018
2021-10-31 00:00:00,3519
2021-09-30 00:00:00,5167
2021-08-31 00:00:00,4132
2021-07-31 00:00:00,3292
2021-06-30 00:00:00,3383
2021-05-31 00:00:00,2596
2021-04-30 00:00:00,3053
2021-03-31 00:00:00,2046
2021-02-28 00:00:00,1675
2021-01-31 00:00:00,1452
2020-12-31 00:00:00,1366
2020-11-30 00:00:00,1227
2020-10-31 00:00:00,1283
2020-09-30 00:00:00,1725
2020-08-31 00:00:00,1488
2020-07-31 00:00:00,1350
2020-06-30 00:00:00,1799
2020-05-31 00:00:00,504
2020-04-30 00:00:00,635
2020-03-31 00:00:00,626
2020-02-29 00:00:00,535
2020-01-31 00:00:00,487
2019-12-31 00:00:00,1090
2019-11-30 00:00:00,1528
2019-10-31 00:00:00,1731
2019-09-30 00:00:00,1823
2019-08-31 00:00:00,2378
2019-07-31 00:00:00,1868
2019-06-30 00:00:00,1354
2019-05-31 00:00:00,1096
2019-04-30 00:00:00,1011
2019-03-31 00:00:00,689
2019-02-28 00:00:00,658
2019-01-31 00:00:00,668
2018-12-31 00:00:00,1271
2018-11-30 00:00:00,1231
2018-10-31 00:00:00,1490
2018-09-30 00:00:00,1540
2018-08-31 00:00:00,1579
2018-07-31 00:00:00,1747
2018-06-30 00:00:00,1385
2018-05-31 00:00:00,1090
2018-04-30 00:00:00,1341
2018-03-31 00:00:00,1055
2018-02-28 00:00:00,1192
2018-01-31 00:00:00,1152
2017-12-31 00:00:00,1366
2017-11-30 00:00:00,1578
2017-10-31 00:00:00,1522
2017-09-30 00:00:00,1356
2017-08-31 00:00:00,1184
2017-07-31 00:00:00,946
2017-06-30 00:00:00,901
2017-05-31 00:00:00,878
2017-04-30 00:00:00,1109
2017-03-31 00:00:00,1297
2017-02-28 00:00:00,859
2017-01-31 00:00:00,800
2016-12-31 00:00:00,961
2016-11-30 00:00:00,1204
2016-10-31 00:00:00,857
2016-09-30 00:00:00,875
2016-08-31 00:00:00,711
2016-07-31 00:00:00,656
2016-06-30 00:00:00,660
