Date;CURMON;1MON;2MON;CURQ;1Q;2Q;3Q;1CAL;2CAL;3CAL;Rollover;ROLL
04.01.2005;;;;68719;60781;;;58250;34000;;;
05.01.2005;;;;68969;60781;;;58313;34313;;;
06.01.2005;;;;71188;62500;;;60250;35031;;;
07.01.2005;;;;73563;65875;;;63000;36688;;;
10.01.2005;;;;75125;68813;;;65124;37813;;;
11.01.2005;;;;77125;69406;59000;;65219;37688;;;
12.01.2005;;;;75750;69031;;;64969;37688;;;
13.01.2005;;;;73375;68156;;;63906;37625;;;
14.01.2005;;;;71750;66000;;;62969;36906;;;
17.01.2005;;;;69625;65500;56906;;36781;27438;;;
18.01.2005;;;;69375;64875;57531;;37031;27688;;;
19.01.2005;;;;65563;62563;54531;;36844;28063;;;
20.01.2005;;;;64000;61375;53063;;36625;27688;;;
21.01.2005;;;;63188;62000;52750;;36750;27688;;;
24.01.2005;;;;65000;62938;54875;;37625;27813;;;
25.01.2005;;;;67063;64875;56750;;39188;28375;;;
26.01.2005;;;;69125;66625;57875;;40438;29313;;;
27.01.2005;;;;72500;71125;62938;;40813;29813;;;
28.01.2005;;;;73250;71563;62750;;41313;30063;;;
31.01.2005;;;;72500;70375;62125;;41063;30063;;;
01.02.2005;;;;70875;67500;61625;;40125;29688;;;
02.02.2005;;;;68563;65625;59563;;39438;29281;;;
03.02.2005;;;;65500;64063;57313;;39313;29188;;;
04.02.2005;;;;65250;63938;57438;;39313;29188;;;
07.02.2005;;;;64813;64125;57688;;39125;29188;;;
08.02.2005;;;;66000;65125;59438;;40125;29563;;;
09.02.2005;;;;68125;68375;62000;;41375;30750;;;
10.02.2005;;;;70563;70250;64250;;42250;30500;;;
11.02.2005;;;;72667;70833;66333;;42333;30417;;;
14.02.2005;;;;73000;71188;65125;;42750;30875;;;
15.02.2005;;;;73375;71250;64750;;42375;30750;;;
16.02.2005;;;;73625;71375;65313;;42250;30688;;;
17.02.2005;;;;75438;72188;65625;;42250;30688;;;
18.02.2005;;;;76813;72500;65875;;42375;30938;;;
21.02.2005;;;;77063;72438;65750;;42313;31000;;;
22.02.2005;;;;75813;72125;64500;;42250;31125;;;
23.02.2005;;;;73375;68500;62375;;41750;30500;;;
24.02.2005;;;;71875;68063;62375;;41375;31375;;;
25.02.2005;;;;71333;67500;61833;;41417;31500;;;
28.02.2005;;;;71000;67313;60938;;41313;31125;;;
01.03.2005;;;;69938;67188;61188;54250;40938;31125;;;
02.03.2005;;;;69500;67313;61313;55250;41250;30875;;;
03.03.2005;;;;69875;67750;61313;55813;41375;31125;;;
04.03.2005;;;;69969;67938;61438;56063;41313;31125;;;
07.03.2005;;;;70906;68750;61688;55938;41563;31250;;;
08.03.2005;;;;71250;70063;62219;56250;42375;31688;;;
09.03.2005;;;;71313;70250;62356;57000;42625;31938;;;
10.03.2005;;;;70875;69625;62219;56250;42563;31938;;;
11.03.2005;;;;69375;67063;61719;55625;41750;31375;;;
14.03.2005;;;;67500;65938;60313;54563;41625;31250;;;
15.03.2005;;;;65625;64625;60063;54188;41313;30438;;;
16.03.2005;;;;64000;59563;54250;50125;41250;30250;;;
17.03.2005;;;;67500;62250;57438;49875;42125;30875;;;
18.03.2005;;;;68500;63000;58375;51875;44500;32563;;;
21.03.2005;;;;68500;63250;58875;52250;45063;32875;;;
22.03.2005;;;;67875;62750;57813;52000;44863;32875;;;
23.03.2005;;;;66375;62000;57438;51500;44313;32563;;;
24.03.2005;;;;65688;62125;57688;51125;43813;32500;;;
29.03.2005;;;;65375;61969;57625;52125;43813;32500;;;
30.03.2005;;;;65500;61969;57625;52125;43688;32500;;;
31.03.2005;;;;66063;62188;57688;52125;43750;32625;;;
01.04.2005;;;;66250;62313;57813;52375;44063;32625;;;
04.04.2005;;;;67313;62313;56813;51813;44125;32625;;;
05.04.2005;;;;68063;63250;57000;52375;45438;33500;;;
06.04.2005;;;;67813;63250;57375;52500;45188;33375;;;
07.04.2005;;;;67813;61875;57938;52875;45250;33500;;;
08.04.2005;;;;67313;60313;57875;52938;45406;34125;;;
11.04.2005;;;;67438;60438;57625;52688;45344;34125;;;
12.04.2005;;;;67875;60813;58125;52688;45719;34500;;;
13.04.2005;;;;69875;61781;59250;54000;46188;34875;;;
14.04.2005;;;;70250;62563;59250;53906;46250;34938;;;
15.04.2005;;;;70250;62563;59250;53906;46188;35000;;;
18.04.2005;;;;69125;61656;58875;53594;46000;34313;;;
19.04.2005;;;;68188;60969;57813;53219;45531;34063;;;
20.04.2005;;;;66344;58188;54688;49906;44844;33375;;;
21.04.2005;;;;65594;56031;53656;49125;43625;33094;;;
22.04.2005;;;;64813;54688;53713;48375;43625;33063;;;
25.04.2005;;;;64875;54688;53750;48688;43563;33125;;;
26.04.2005;;;;62625;53313;52438;47938;42969;32500;;;
27.04.2005;;;;58125;49438;48625;45313;40844;31500;;;
28.04.2005;;;;56063;48663;47813;44969;40563;30750;;;
29.04.2005;;;;56500;49788;49500;45969;41250;30750;;;
03.05.2005;;;;57594;50475;49375;46344;41781;30500;;;
04.05.2005;;;;57500;52063;51338;47525;41938;31250;;;
05.05.2005;;;;58781;53156;52375;47563;42438;31750;;;
06.05.2005;;;;59500;53813;53156;47813;42563;31938;;;
09.05.2005;;;;59750;52875;52719;47813;42563;32156;;;
10.05.2005;;;;58750;50625;50344;47250;41438;31719;;;
11.05.2005;;;;55938;47031;46969;43250;37813;29625;;;
12.05.2005;;;;54875;46906;46563;43250;38438;29594;;;
13.05.2005;;;;54813;46938;46875;42375;38188;29531;;;
16.05.2005;;;;53813;46563;46781;43000;38063;29469;;;
17.05.2005;;;;52375;46250;46313;42313;37750;29531;;;
18.05.2005;;;;50438;43938;43938;40656;36813;28875;;;
19.05.2005;;;;47500;42625;43000;39156;35219;28031;;;
20.05.2005;;;;47750;42875;43000;39156;35656;28219;;;
23.05.2005;;;;47563;43031;43156;38906;35563;28031;;;
24.05.2005;;;;43969;42063;42750;37875;34750;27844;;;
25.05.2005;;;;42250;40250;40813;37281;34906;27844;;;
26.05.2005;;;;41219;39563;39688;36938;34688;27719;;;
27.05.2005;;;;40938;38781;39594;36688;34500;27719;;;
31.05.2005;;;;38938;37750;38656;36406;34250;27625;;;
01.06.2005;;;;35969;36531;37188;35625;33375;26375;;;
02.06.2005;;;;33938;34688;36000;34625;33094;26750;;;
03.06.2005;;;;32875;34750;36063;34469;33125;26875;;;
06.06.2005;;;;31375;33875;35281;34188;33313;26875;;;
07.06.2005;;;;31281;34813;36313;34406;33375;27125;;;
08.06.2005;;;;31500;35156;37125;34875;34500;27813;;;
09.06.2005;;;;32000;35094;36563;35188;34219;27563;;;
10.06.2005;;;;31188;33906;35313;34688;33813;27375;;;
13.06.2005;;;;29813;33531;35469;34538;33313;27125;;;
14.06.2005;;;;28875;32906;34781;34475;32500;27313;;;
15.06.2005;;;;28281;31875;33969;34100;32000;26938;;;
16.06.2005;;;;29875;33250;33313;32750;31438;26188;24438;;
17.06.2005;;;;30000;33813;34000;33000;32000;26000;23938;;
20.06.2005;;;;30344;33913;33369;32500;32031;26125;23531;;
21.06.2005;;;;32000;34688;34125;33219;32656;26500;23563;;
22.06.2005;;;;35583;37833;35500;34500;34083;27667;24167;;
23.06.2005;;;;36063;37813;36281;35500;34938;27688;24156;;
24.06.2005;;;;35531;37906;36688;35406;34906;27750;24281;;
27.06.2005;;;;35406;37219;35750;34969;34281;27500;24281;;
28.06.2005;;;;33750;35625;35063;34075;33125;27313;24094;;
29.06.2005;;;;32438;34250;34250;33444;32688;27000;23875;;
30.06.2005;;;;30813;34375;34219;33300;32044;26675;23675;;
01.07.2005;;;;28750;32000;32094;31281;30575;25813;23138;;
04.07.2005;;;;28625;32125;31906;31031;30450;25938;23138;;
05.07.2005;;;;29125;32625;32344;31656;30319;25938;22938;;
06.07.2005;;;;30563;34125;32813;32313;31125;25844;22906;;
07.07.2005;;;;30938;34813;33500;32688;31500;25750;23031;;
08.07.2005;;;;31063;34938;33625;32938;32125;25969;23469;;
11.07.2005;;;;31500;35313;33938;33125;32188;25969;23469;;
12.07.2005;;;;31875;35531;33875;33000;32625;26156;23469;;
13.07.2005;;;;32500;36188;34563;33750;33063;25813;23656;;
14.07.2005;;;;32406;36094;34500;33850;32969;25875;23750;;
15.07.2005;;;;32406;35969;34500;33667;33094;25750;23688;;
18.07.2005;;;;32000;35594;34125;33375;33031;25719;23688;;
19.07.2005;;;;30625;32500;32969;32313;32156;25156;23156;;
20.07.2005;;;;29219;30719;31938;31625;31063;24094;22281;;
21.07.2005;;;;27625;29500;31094;30563;30250;23500;21875;;
22.07.2005;;;;26688;28875;30844;30188;29875;23375;21750;;
25.07.2005;;;;26031;28219;30594;29813;29250;23250;21688;;
26.07.2005;;;;24969;27031;29250;28563;27813;22875;21406;;
27.07.2005;;;;23031;24000;25531;25344;23906;21219;19906;;
28.07.2005;;;;22500;23625;24594;24594;23938;21094;19906;;
29.07.2005;;;;22375;23938;24594;24469;23938;21219;20031;;
01.08.2005;;;;22469;24188;24594;24469;23813;21344;20094;;
02.08.2005;;;;22938;24625;24875;24563;24281;21938;20125;;
03.08.2005;;;;25250;27917;27750;26750;26583;22833;20833;;
04.08.2005;;;;26031;28281;28625;27781;27500;23563;21531;;
05.08.2005;;;;27063;30813;30688;29375;29250;24406;22250;;
08.08.2005;;;;27450;31250;30950;29600;29650;24675;22400;;
09.08.2005;;;;27725;32250;31775;30175;30225;24865;22435;;
10.08.2005;;;;28188;32625;32188;30875;30844;24625;22375;;
11.08.2005;;;;29225;35400;33800;32475;32800;25600;22875;;
12.08.2005;;;;29950;35800;34825;33550;33550;25600;22925;;
15.08.2005;;;;30000;35700;34925;33550;34200;25700;22925;;
16.08.2005;;;;30313;35656;35094;33813;34406;26063;23031;;
17.08.2005;;;;33125;38875;36850;35725;35500;27025;23300;;
18.08.2005;;;;33875;38475;36950;35925;35700;26725;23100;;
19.08.2005;;;;35350;39550;37650;36600;36050;26575;23300;;
22.08.2005;;;;36725;40250;38500;37650;36150;26575;23450;;
23.08.2005;;;;36900;37450;37200;36325;35100;25600;23125;;
24.08.2005;;;;37150;37225;36950;35525;34600;25300;22875;;
25.08.2005;;;;37300;37100;36600;35425;34330;25300;22775;;
26.08.2005;;;;37850;37750;36650;35570;34400;25300;22675;;
30.08.2005;;;;38200;37850;36700;35520;34350;25350;22675;;
31.08.2005;;;;37200;36350;34450;33450;32550;25000;22400;;
01.09.2005;36425;;;36425;35200;34000;32900;31725;24750;22600;;
02.09.2005;35900;;;35900;34750;33575;32625;31325;24400;22300;;
05.09.2005;34875;;;34875;34125;32925;32125;31525;24400;22200;;
06.09.2005;35950;;;35950;36550;35175;33825;33750;25000;22325;;
07.09.2005;37300;;;37700;38200;36175;35050;34800;25725;22825;;
08.09.2005;37725;;;37825;37700;36000;34050;32800;25125;22825;;
09.09.2005;38775;;;38875;40000;37100;35300;35225;25775;23175;;
12.09.2005;39775;;;39775;42500;38950;36750;36300;26450;23450;;
13.09.2005;40300;;;40300;43250;39650;37350;36400;26450;23350;;
14.09.2005;40750;;;40500;42625;39188;37288;36075;26188;23063;;
15.09.2005;40500;;;40300;42900;39450;37050;35900;26050;23200;;
16.09.2005;41550;;;41150;43700;39550;37050;36000;26650;23500;;
19.09.2005;41750;;;41350;44050;39550;36950;35900;26650;23300;;
20.09.2005;42300;;;41700;45550;41350;37050;36112;26650;23200;;
21.09.2005;42200;;;41600;46050;41495;37000;36200;26550;23300;;
22.09.2005;41900;;;41350;45200;41150;37100;35600;26200;23150;;
23.09.2005;42050;;;41500;45350;40325;36500;35315;26100;23050;;
26.09.2005;41900;;;41350;43710;40075;36400;34950;25950;22900;;
27.09.2005;41950;;;41350;42800;38125;35850;34500;25900;23000;;
28.09.2005;41800;;;41300;42450;37875;35600;33925;25550;23000;;
29.09.2005;41816;;;41516;43600;38225;35700;33950;25500;23000;;
30.09.2005;0;;;0;46450;39925;37000;35300;25700;23000;;
03.10.2005;48800;;;49500;40550;37300;33850;35875;25900;23250;;
04.10.2005;49100;;;49300;40775;37700;33750;35675;26050;23250;;
05.10.2005;49100;;;49550;40900;37550;33650;35775;26250;23300;;
06.10.2005;49300;;;49650;41050;37550;33650;35875;26050;23250;;
07.10.2005;49500;;;49500;40975;37500;33650;35775;26050;23250;;
10.10.2005;49800;;;50200;41700;37675;33800;36000;26200;23300;;
11.10.2005;50900;;;51800;42250;37850;33850;36000;26194;23300;;
12.10.2005;52250;;;52800;43100;38550;33900;37200;27350;23600;;
13.10.2005;52900;;;53600;44200;39500;34850;37585;27900;24100;;
14.10.2005;52550;;;52600;42800;39125;34500;37350;27500;24050;;
17.10.2005;51900;;;51650;42400;38825;34150;37050;27400;24050;;
18.10.2005;49750;;;48200;40600;37100;33000;36250;26300;23600;;
19.10.2005;49063;;;46625;39625;36688;32500;35438;26188;23500;;
20.10.2005;49250;;;47500;39950;36800;32800;35250;25825;23300;;
21.10.2005;49600;;;47775;40250;37050;32750;35450;25675;23400;;
24.10.2005;49900;;;49470;41250;37200;32950;35970;25725;23425;;
25.10.2005;50050;;;49175;41125;37200;32900;36200;26100;23425;;
26.10.2005;49500;;;49000;40200;37000;32875;36150;26450;23400;;
27.10.2005;50000;;;49000;40300;37350;32975;36250;26400;23400;;
28.10.2005;49550;;;48400;39600;36800;32775;35750;26150;23150;;
31.10.2005;0;;;46750;38300;35700;32425;34400;25600;23300;;
01.11.2005;45650;;;44650;37550;35000;32150;34075;25425;23025;;
02.11.2005;44100;;;42350;36400;34250;31600;33550;25020;22950;;
03.11.2005;43250;;;42900;36650;34475;31275;33600;25175;22750;;
04.11.2005;43550;;;43250;37650;34975;31675;33850;25325;22900;;
07.11.2005;43650;;;43250;37375;34975;31575;33850;25275;22900;;
08.11.2005;43500;;;42850;36500;34375;31375;33500;25275;22850;;
09.11.2005;45350;;;44350;37450;35175;31775;33800;25475;23100;;
10.11.2005;46850;;;46150;38150;35700;31675;34425;25550;23225;;
11.11.2005;47950;;;46550;38150;35500;31450;33550;25525;23175;;
14.11.2005;47800;;;46700;38100;35500;31450;33550;25600;23075;;
15.11.2005;47075;;;45825;36075;33825;30575;32350;25250;22925;;
16.11.2005;46425;;;45125;35375;32900;30150;32175;25250;22875;;
17.11.2005;44600;;;42900;33925;31425;29475;30275;24700;22325;;
18.11.2005;44500;;;43000;34575;31925;29425;30825;24750;22575;;
21.11.2005;45350;;;42750;34550;31925;29275;30725;24800;22625;;
22.11.2005;45300;;;42800;34450;31775;29225;30575;24800;22625;;
23.11.2005;45350;;;42850;34700;32025;29275;30875;24800;22625;;
24.11.2005;44950;;;42200;34500;31775;29075;30775;24900;22475;;
25.11.2005;44950;;;41550;33675;31325;28975;30425;24700;22325;;
28.11.2005;45000;;;41350;33550;31075;28875;30250;24700;22525;;
29.11.2005;45050;;;41525;34200;31425;29225;30645;24700;22525;;
30.11.2005;0;;;41571;34530;31405;29275;30875;24600;22575;;
01.12.2005;37450;;;37450;34500;31475;28975;30875;24600;22525;;
02.12.2005;37450;;;37350;34400;31405;28775;30875;24500;22525;;
05.12.2005;37400;;;37400;34350;31255;28775;30675;24550;22375;;
06.12.2005;36675;;;36675;33025;30250;28150;29675;24260;22225;;
07.12.2005;36150;;;36150;31925;29350;27225;28725;24100;22075;;
08.12.2005;35500;;;35500;31725;29300;27325;28925;23900;21925;;
09.12.2005;35150;;;35150;32075;29400;27475;29220;24100;22075;;
12.12.2005;35000;;;35100;32025;29700;27525;29345;24150;22225;;
13.12.2005;34950;;;34950;31775;29500;27375;28875;24150;22225;;
14.12.2005;34890;;;34890;31875;29500;27275;28775;24150;22225;;
15.12.2005;34725;;;34725;31925;29450;27175;28825;24100;22125;;
16.12.2005;34875;;;34875;32150;29450;27175;28875;24100;22125;;
19.12.2005;34805;;;34805;32175;29450;27125;28875;24100;22125;;
20.12.2005;34775;;;34775;31885;29350;27030;28825;24050;22075;;
21.12.2005;34825;;;34825;31825;29265;27025;28675;24170;22175;;
22.12.2005;34925;;;34925;31800;29115;26925;28675;24100;22125;;
23.12.2005;0;;;0;31730;29065;26875;28650;24100;22125;;
03.01.2006;33700;;;33975;30525;27575;27250;25000;22625;21200;;
04.01.2006;33500;;;33875;30550;27325;26800;25000;22525;20950;;
05.01.2006;33550;;;33975;30450;26825;26300;24950;22525;21150;;
06.01.2006;33850;;;34375;31000;26875;26250;24950;22575;21200;;
09.01.2006;33500;;;33870;30850;26825;26200;24500;22550;21150;;
10.01.2006;33200;;;33175;30450;26500;26150;24300;22425;21100;;
11.01.2006;32550;;;32000;30100;26225;25900;23850;22025;20700;;
12.01.2006;32500;;;32175;29750;26100;25850;23900;21875;20600;;
13.01.2006;31450;;;30600;28475;25600;25450;23450;21900;20550;;
16.01.2006;30625;;;30175;28350;25550;25330;23275;21800;20650;;
17.01.2006;29675;;;29525;27725;25475;25225;23135;21700;20200;;
18.01.2006;29100;;;28700;26775;24975;24725;22785;21550;20100;;
19.01.2006;28800;;;27650;26650;24600;24450;22450;21200;20050;;
20.01.2006;28650;;;27250;26250;24200;23850;22300;21250;20000;;
23.01.2006;28850;;;27600;26515;24450;24050;22600;21350;19950;;
24.01.2006;28880;;;27700;26575;24510;24135;22710;21500;19900;;
25.01.2006;28900;;;28100;27370;24550;24330;22760;21600;20200;;
26.01.2006;29010;;;28800;28300;24875;24525;22860;21650;20250;;
27.01.2006;29130;;;29295;28940;25160;24760;22940;21695;20350;;
30.01.2006;29110;;;28945;28790;24900;24650;22840;21695;20300;;
31.01.2006;0;;;28310;28170;24675;24550;22750;21470;20200;;
01.02.2006;28400;;;28065;27885;24675;24550;22240;21295;20150;;
02.02.2006;29050;;;28900;28950;24800;24950;22330;21220;20150;;
03.02.2006;29700;;;29900;30250;25300;25625;22330;20470;19700;;
06.02.2006;29800;;;30525;31125;25475;25750;22280;20720;19850;;
07.02.2006;30150;;;30850;31300;26095;26320;22250;20770;19800;;
08.02.2006;30700;;;31600;31450;26150;26300;22260;20720;19800;;
09.02.2006;31100;;;31950;31600;26100;26350;22260;20870;19850;;
10.02.2006;32350;;;32750;33100;26280;26820;22590;21060;19950;;
13.02.2006;32400;;;33350;33715;26230;26965;22800;21480;20200;;
14.02.2006;34150;;;35850;35650;26650;27050;23190;21550;20270;;
15.02.2006;35750;;;37750;38300;28070;28700;24050;22030;20560;;
16.02.2006;35450;;;38850;38200;28170;28790;24450;22350;20700;;
17.02.2006;35900;;;39600;38000;27520;28440;24380;22350;20680;;
20.02.2006;37500;;;39720;37500;27020;28120;24130;22400;20830;;
21.02.2006;37400;;;37825;33050;25950;27050;23320;22150;20730;;
22.02.2006;36650;;;35950;31250;25300;26150;22950;21850;20650;;
23.02.2006;36950;;;36600;33275;25320;26250;23180;21770;20650;;
24.02.2006;37220;;;37170;34100;25420;26350;23105;21700;20650;;
27.02.2006;37576;;;38580;36100;25900;26900;23180;21650;20650;;
28.02.2006;0;;;38600;34940;25750;26820;23180;21650;20650;;
01.03.2006;38875;;;39150;34213;25563;26688;23063;21563;20625;;
02.03.2006;37565;;;37565;33510;25115;26200;22960;21535;20600;;
03.03.2006;36965;;;36965;32300;24715;25650;22760;21385;20500;;
06.03.2006;36595;;;36595;32035;24395;25390;22728;21300;20450;;
07.03.2006;38400;;;38400;34130;24800;25950;22743;21295;20495;;
08.03.2006;40180;;;40180;35650;25550;26350;22805;21365;20495;;
09.03.2006;40000;;;40000;35325;26005;27275;22870;21620;20498;;
10.03.2006;39475;;;39475;34690;25815;27210;22970;21620;20498;;
13.03.2006;39125;;;39125;33575;25225;26600;22850;21415;20398;;
14.03.2006;38125;;;38125;32225;24970;26260;22800;21465;20348;;
15.03.2006;37850;;;37850;31820;24725;26118;22800;21540;20298;;
16.03.2006;37638;;;37638;31833;24783;26117;22771;21546;20331;;
17.03.2006;37717;;;37717;32688;25429;26721;22833;21629;20331;;
20.03.2006;37467;;;37467;33604;25938;27038;22896;21671;20415;;
21.03.2006;37717;;;37717;34308;26313;27371;23021;21692;20456;;
22.03.2006;38108;;;38108;35500;26854;27708;23388;21679;20542;;
23.03.2006;38063;;;38063;35438;26642;27713;23408;21763;20542;;
24.03.2006;37950;;;37940;35183;26521;27608;23367;21763;20542;;
27.03.2006;37842;;;37842;34938;26388;27383;23471;21763;20542;;
28.03.2006;37429;;;37429;34096;26154;27296;23338;21763;20542;;
29.03.2006;37313;;;37313;33888;26279;27154;23367;21721;20542;;
30.03.2006;37308;;;37308;34242;26417;27350;23429;21700;20625;;
31.03.2006;0;;;0;34375;26533;27496;23446;21700;20625;;
03.04.2006;37042;;;35292;26917;27888;24800;23596;21825;20750;;
04.04.2006;36692;;;34983;26846;27708;24883;23517;22138;20871;;
05.04.2006;36229;;;34654;26579;27598;24592;23494;22233;20933;;
06.04.2006;35979;;;34704;26471;27535;24550;23477;22275;20933;;
07.04.2006;36067;;;34725;26621;27717;24629;23533;22358;21229;;
10.04.2006;35904;;;35079;27304;28750;24808;23850;22463;21288;;
11.04.2006;35667;;;35000;27250;28913;24858;24081;23083;21675;;
12.04.2006;35417;;;34554;27133;28708;24975;24292;23292;21767;;
13.04.2006;35417;;;34400;27292;28833;25000;24675;23583;21900;;
18.04.2006;35254;;;34427;27375;28902;25000;24723;23679;21929;;
19.04.2006;34729;;;34083;27417;28794;25356;24775;23975;22133;;
20.04.2006;34283;;;33308;26942;28200;25254;24933;24138;22167;;
21.04.2006;34021;;;33037;26688;28017;25246;24942;24250;22150;;
24.04.2006;33858;;;32621;26354;28133;25200;24813;24181;22200;;
25.04.2006;33442;;;31838;26221;27958;25142;24767;24025;22242;;
26.04.2006;33042;;;31167;25963;27771;25213;24792;23979;22283;;
27.04.2006;32925;;;31100;25875;27833;25225;24775;23933;22292;;
28.04.2006;0;;;31183;25946;27825;25271;24754;23879;22292;;
02.05.2006;30125;;;30208;25996;27738;25342;24733;23863;22292;;
03.05.2006;30208;;;30350;26400;28063;25417;24750;23963;22333;;
04.05.2006;30317;;;30554;26650;28400;25658;24750;24200;22592;;
05.05.2006;30350;;;30875;26775;28963;25808;24760;24367;22650;;
08.05.2006;30396;;;30821;26792;29000;25833;24760;24392;22775;;
09.05.2006;30825;;;30913;26892;29229;25895;24885;24475;22813;;
10.05.2006;31042;;;31125;27333;29533;26167;25525;24725;22988;;
11.05.2006;31088;;;31150;27250;29438;26271;25500;24713;23075;;
12.05.2006;31146;;;31146;27292;29375;26250;25438;24696;23125;;
15.05.2006;31104;;;31075;27292;29350;26225;25517;24729;23183;;
16.05.2006;31063;;;30938;27250;29388;26188;25450;24750;23121;;
17.05.2006;30325;;;30260;26942;29125;26192;25383;24775;23183;;
18.05.2006;30075;;;30004;26908;28917;26138;25333;24763;23150;;
19.05.2006;29829;;;29900;26967;29021;26133;25313;24758;23150;;
22.05.2006;29871;;;29954;27133;29100;26283;25338;24717;23208;;
23.05.2006;29879;;;29983;27429;29833;26338;25563;24938;23292;;
24.05.2006;29821;;;29942;27579;29846;26321;25521;24875;23250;;
25.05.2006;29758;;;29833;27621;30033;26342;25563;24875;23250;;
26.05.2006;29700;;;29790;27500;29921;26321;25583;24917;23292;;
30.05.2006;29500;;;29600;28100;30567;26642;26017;25050;23500;;
31.05.2006;0;;;30679;29404;31813;28000;27488;25850;24292;;
01.06.2006;30808;;;30800;29892;32392;28613;27875;26546;24808;;
02.06.2006;31750;;;31733;30971;33292;29433;28892;27458;25571;;
05.06.2006;32150;;;32350;32850;34325;30350;29475;27610;25700;;
06.06.2006;31642;;;31879;31767;33708;30042;29108;27429;25675;;
07.06.2006;31833;;;31975;32958;34250;30304;29250;27600;25875;;
08.06.2006;31863;;;31917;32933;34221;30438;29367;27563;25938;;
09.06.2006;31992;;;32008;32867;33825;30554;29433;27642;25900;;
12.06.2006;32442;;;32458;33883;34917;31675;30146;28188;26304;;
13.06.2006;32542;;;32500;33800;34667;31575;30192;28271;26421;;
14.06.2006;32429;;;32396;33021;33983;31496;29763;28146;26500;;
15.06.2006;32450;;;32396;33479;34150;31508;29708;28229;26604;;
16.06.2006;32638;;;32550;33500;34317;31600;29792;28396;26688;;
19.06.2006;32750;;;32750;34482;34839;31907;29757;28546;26664;;
20.06.2006;32875;;;32875;34411;35018;31946;29957;28618;26625;;
21.06.2006;32925;;;32925;34707;35336;32061;30039;28668;26821;;
22.06.2006;33418;;;33418;37321;37418;33036;31457;29893;28107;;
23.06.2006;33964;;;33929;38321;38571;33479;31893;30189;28571;;
26.06.2006;33821;;;33821;37929;38429;33554;31857;30171;28718;;
27.06.2006;33793;;;33793;38143;39250;34107;32607;30600;28936;;
28.06.2006;34196;;;34196;39164;40296;34893;33550;30864;29304;;
29.06.2006;34286;;;34286;38761;40286;34654;33193;30739;29146;;
30.06.2006;0;;;0;39564;40957;35207;33207;30925;29343;;
03.07.2006;39500;;;39639;41264;35857;35286;33229;30486;29200;;
04.07.2006;37075;;;36839;37839;33786;33071;31679;29821;28714;;
05.07.2006;35786;;;36311;36982;33107;32393;31071;29643;28546;;
06.07.2006;35614;;;35739;36764;32607;32161;30857;29457;28529;;
07.07.2006;35500;;;36271;37475;32929;32093;31021;29607;28636;;
10.07.2006;35536;;;36075;37368;33250;32021;31093;29625;28686;;
11.07.2006;35575;;;36679;37911;33500;32529;31243;29832;29050;;
12.07.2006;36229;;;38018;39404;35161;34407;33057;30793;29636;;
13.07.2006;37225;;;39018;41057;35754;35061;33561;31382;30143;;
14.07.2006;38132;;;41321;42911;36532;35911;34432;32243;30704;;
17.07.2006;38354;;;41429;43786;37004;36454;35082;32307;30718;;
18.07.2006;39554;;;42893;45036;38357;37964;36000;32893;31250;;
19.07.2006;40386;;;44714;47679;40250;39071;37000;33411;31679;;
20.07.2006;40554;;;43964;47314;39957;38821;36743;33161;31504;;
21.07.2006;39996;;;43400;46732;39746;38721;36843;33039;31539;;
24.07.2006;39771;;;42800;46393;39357;38350;36525;32629;31361;;
25.07.2006;39721;;;42475;46039;39036;38150;35921;32571;31321;;
26.07.2006;39836;;;43071;46486;39464;38450;36332;32696;31286;;
27.07.2006;40043;;;44821;47357;40032;38950;37482;33161;31321;;
28.07.2006;40464;;;46271;48450;41143;40071;39086;33393;31525;;
31.07.2006;0;;;48429;52429;44143;43214;42479;34571;32393;;
01.08.2006;51821;;;52679;55750;48214;45643;44929;35857;33425;;
02.08.2006;53964;;;54929;60750;51536;49250;48214;37857;34607;;
03.08.2006;54393;;;55500;60357;50643;48143;47143;37786;34393;;
04.08.2006;55679;;;56464;61000;51250;49250;47500;37571;34450;;
07.08.2006;57929;;;58536;61743;51536;49857;47700;37982;34721;;
08.08.2006;58071;;;58071;59857;51071;48896;46664;37550;34457;;
09.08.2006;57893;;;57514;59539;50036;47786;45529;37143;34136;;
10.08.2006;58357;;;58250;60643;50750;48250;46475;37300;34118;;
11.08.2006;58707;;;60021;63414;53086;50079;48018;38186;34582;;
14.08.2006;59964;;;61321;65643;56714;53732;52393;39893;35907;;
15.08.2006;60393;;;62161;65661;57982;55179;54107;40464;35771;;
16.08.2006;59411;;;59068;61286;55304;52821;50964;38600;34536;;
17.08.2006;58625;;;58705;60500;54321;52018;50007;37925;34286;;
18.08.2006;57911;;;57946;59893;53964;51929;49257;37404;34000;;
21.08.2006;57268;;;57625;59286;53750;51643;48650;37071;33964;;
22.08.2006;56719;;;57281;59391;53063;51188;48328;37122;34134;;
23.08.2006;55906;;;56322;57531;51875;49906;47594;36609;33688;;
24.08.2006;56619;;;57688;62000;54653;52031;50000;37734;34494;;
25.08.2006;56750;;;57963;61625;54750;52453;50938;37844;34669;;
29.08.2006;56906;;;59031;64094;56000;53500;52969;38369;35156;;
30.08.2006;57000;;;59406;64253;56031;53719;52422;38594;35181;;
31.08.2006;0;;;59800;64571;56000;53821;52100;38643;35029;;
