Shipping Intelligence Network Timeseries;;;;;;;;
Created 23 February 2024 11:55;;;;;;;;
;;;;;;;;
Date;No;No;No;No;DWT million;DWT million;DWT million;DWT million
Date;Handysize Bulkcarrier Fleet Development [No];Handymax Bulkcarrier Fleet Development [No];Panamax Bulkcarrier Fleet Development [No];Capesize Bulkcarrier Fleet Development [No];Handysize Bulkcarrier Fleet Development [DWT million];Handymax Bulkcarrier Fleet Development [DWT million];Panamax Bulkcarrier Fleet Development [DWT million];Capesize Bulkcarrier Fleet Development [DWT million]
Apr-2006;2772;1442;1326;672;73.20484;68.66515;95.93465;113.86032
May-2006;2780;1452;1332;678;73.35893;69.17955;96.43416;114.98339
Jun-2006;2782;1455;1341;679;73.36192;69.34896;97.14168;115.17504
Jul-2006;2789;1465;1349;685;73.49307;69.88652;97.7924;116.23407
Aug-2006;2796;1474;1356;686;73.6358;70.37384;98.3493;116.4059
Sep-2006;2799;1477;1365;692;73.69895;70.5359;99.07916;117.47768
Oct-2006;2802;1484;1375;695;73.77342;70.91401;99.92614;118.00455
Nov-2006;2805;1493;1380;702;73.86959;71.39145;100.3143;119.28381
Dec-2006;2813;1502;1388;705;74.00482;71.86196;100.95285;119.80618
Jan-2007;2817;1507;1395;709;74.06892;72.13482;101.51301;120.56437
Feb-2007;2824;1513;1403;718;74.18734;72.46576;102.1342;122.11306
Mar-2007;2828;1520;1410;722;74.26472;72.84672;102.74014;122.90615
Apr-2007;2832;1528;1418;727;74.36084;73.29046;103.38242;123.83854
May-2007;2840;1536;1426;734;74.60401;73.70172;104.02331;125.18403
Jun-2007;2846;1547;1430;737;74.75474;74.29077;104.3545;125.77136
Jul-2007;2853;1556;1438;740;74.89802;74.79454;105.00008;126.3267
Aug-2007;2866;1567;1445;748;75.16212;75.3957;105.56886;127.71737
Sep-2007;2873;1571;1452;750;75.32719;75.62412;106.13798;128.07778
Oct-2007;2888;1580;1457;753;75.66355;76.11022;106.53568;128.63982
Nov-2007;2899;1589;1459;755;75.9488;76.59321;106.7093;128.99722
Dec-2007;2910;1599;1468;761;76.19146;77.13275;107.43396;130.14784
Jan-2008;2921;1605;1475;766;76.39035;77.45802;107.9967;131.24086
Feb-2008;2936;1616;1481;770;76.67572;78.08949;108.48354;131.95364
Mar-2008;2943;1627;1486;772;76.855;78.68943;108.89264;132.31181
Apr-2008;2952;1638;1496;776;77.07543;79.3045;109.67772;133.04682
May-2008;2974;1641;1501;779;77.48652;79.47024;110.06547;133.63847
Jun-2008;2999;1654;1510;784;78.02922;80.18402;110.77149;134.71644
Jul-2008;3012;1671;1514;792;78.31148;81.10624;111.09313;136.24214
Aug-2008;3032;1679;1519;799;78.72637;81.53109;111.50826;137.97325
Sep-2008;3048;1688;1530;806;79.1622;82.01619;112.35666;139.6048
Oct-2008;3063;1697;1540;813;79.53204;82.53307;113.2266;141.23594
Nov-2008;3078;1704;1549;816;79.86757;82.93435;113.98765;141.91726
Dec-2008;3090;1718;1550;818;80.07801;83.72827;114.22683;142.41876
Jan-2009;3076;1722;1549;821;79.37175;84.0172;114.2559;143.25017
Feb-2009;3075;1738;1548;822;79.06459;84.96071;114.31022;143.60666
Mar-2009;3067;1742;1552;833;78.68532;85.19711;114.68075;145.759
Apr-2009;3084;1752;1556;840;78.91807;85.76221;115.06581;147.52105
May-2009;3086;1768;1562;847;78.80685;86.68643;115.55165;148.83099
Jun-2009;3094;1780;1569;855;78.88719;87.37036;116.16506;150.44318
Jul-2009;3121;1788;1582;866;79.45593;87.83121;117.28602;152.52584
Aug-2009;3143;1797;1584;885;80.01664;88.35446;117.47879;156.24844
Sep-2009;3163;1817;1589;897;80.42328;89.49874;117.91609;158.51544
Oct-2009;3184;1834;1597;914;80.94598;90.44997;118.59635;162.01075
Nov-2009;3205;1850;1606;928;81.44735;91.3408;119.35368;164.84693
Dec-2009;3226;1871;1614;942;81.88834;92.52922;120.01254;167.53693
Jan-2010;3248;1880;1617;955;82.33742;93.05063;120.27637;169.99729
Feb-2010;3280;1912;1635;973;83.12038;94.86842;121.77244;173.16839
Mar-2010;3300;1927;1644;986;83.70953;95.71369;122.56131;175.73548
Apr-2010;3315;1957;1653;1009;84.13385;97.40449;123.34742;180.0767
May-2010;3334;1985;1672;1023;84.66947;98.99251;124.97431;182.64062
Jun-2010;3359;2019;1681;1038;85.34622;100.91976;125.71749;185.53143
Jul-2010;3380;2040;1695;1056;85.97605;102.15529;126.9275;189.09008
Aug-2010;3414;2071;1708;1078;86.90511;103.88988;128.0132;193.19907
Sep-2010;3437;2094;1719;1089;87.54174;105.18777;128.94908;195.46381
Oct-2010;3463;2129;1738;1110;88.23523;107.19342;130.59229;199.12834
Nov-2010;3487;2150;1751;1128;88.99001;108.39269;131.67533;202.50375
Dec-2010;3506;2179;1772;1145;89.54617;110.0389;133.41407;205.90368
Jan-2011;3519;2202;1788;1162;89.86805;111.37339;134.82197;209.17423
Feb-2011;3552;2251;1798;1197;90.85529;114.16667;135.81109;215.53191
Mar-2011;3550;2261;1811;1201;90.90391;114.77848;136.89137;216.57426
Apr-2011;3547;2293;1824;1212;90.87728;116.68216;138.07976;219.08304
May-2011;3548;2306;1834;1227;90.85454;117.50375;139.11522;221.89745
Jun-2011;3560;2339;1852;1239;91.32285;119.42625;140.79113;224.67877
Jul-2011;3569;2373;1868;1248;91.73408;121.34115;142.27498;226.5449
Aug-2011;3591;2410;1880;1267;92.44947;123.4648;143.49433;229.8163
Sep-2011;3603;2433;1892;1280;92.86597;124.76487;144.56414;232.18133
Oct-2011;3602;2472;1922;1307;93.09044;126.97455;147.10603;237.80631
Nov-2011;3617;2491;1941;1323;93.71315;128.13957;148.76917;241.0331
Dec-2011;3630;2524;1960;1344;94.23385;129.99665;150.38133;245.16939
Jan-2012;3628;2551;1970;1363;94.32495;131.45776;151.30141;249.01483
Feb-2012;3653;2590;1996;1391;95.21382;133.80132;153.62192;254.01479
Mar-2012;3648;2613;2013;1404;95.12834;135.11641;155.1713;256.53542
Apr-2012;3647;2631;2030;1420;95.10711;136.30037;156.7956;259.92047
May-2012;3650;2652;2039;1436;95.20486;137.62183;157.69811;263.20333
Jun-2012;3656;2678;2067;1448;95.5089;139.16;160.15707;265.73005
Jul-2012;3676;2720;2094;1476;96.22016;141.62733;162.5783;271.1368
Aug-2012;3674;2738;2111;1486;96.28159;142.71294;164.05343;273.40076
Sep-2012;3662;2755;2128;1491;95.92034;143.7285;165.63346;274.48118
Oct-2012;3662;2780;2138;1496;96.07618;145.19747;166.6496;276.43004
Nov-2012;3666;2799;2143;1500;96.31929;146.33828;167.21792;277.60429
Dec-2012;3661;2819;2162;1503;96.2261;147.52106;168.88389;278.40699
Jan-2013;3650;2821;2167;1508;95.95834;147.6835;169.38934;279.53287
Feb-2013;3650;2858;2201;1515;96.1094;149.82422;172.41031;281.90096
Mar-2013;3643;2868;2200;1514;96.0156;150.45043;172.52374;282.02609
Apr-2013;3630;2887;2217;1526;95.62176;151.65533;174.02041;284.72837
May-2013;3633;2895;2231;1532;95.85232;152.23281;175.17171;286.13964
Jun-2013;3635;2909;2249;1534;95.93508;153.08484;176.72126;286.79939
Jul-2013;3622;2924;2254;1542;95.64383;153.9696;177.17192;288.25411
Aug-2013;3623;2934;2270;1548;95.76159;154.59549;178.53124;289.63072
Sep-2013;3625;2941;2280;1549;95.84932;155.04468;179.43494;290.06831
Oct-2013;3610;2951;2293;1555;95.34448;155.72329;180.4766;291.28158
Nov-2013;3609;2975;2312;1562;95.45038;157.09442;182.06425;292.6059
Dec-2013;3605;2995;2333;1566;95.43763;158.16912;183.84553;293.58383
Jan-2014;3601;3003;2339;1568;95.35895;158.60881;184.41301;293.79145
Feb-2014;3609;3018;2364;1580;95.82222;159.56369;186.47549;296.181
Mar-2014;3612;3027;2375;1583;95.88448;160.10014;187.39145;296.93366
Apr-2014;3621;3038;2394;1595;96.15889;160.75876;188.96067;299.03995
May-2014;3622;3048;2405;1596;96.29655;161.3949;189.88717;299.4632
Jun-2014;3622;3056;2407;1598;96.44855;161.92391;190.16881;299.65078
Jul-2014;3617;3069;2417;1607;96.39826;162.74114;191.0092;301.38565
Aug-2014;3616;3081;2421;1617;96.45755;163.56046;191.40104;303.3922
Sep-2014;3616;3089;2415;1616;96.49206;164.09461;191.05423;303.30747
Oct-2014;3624;3102;2427;1626;96.82588;164.94073;192.08815;305.31052
Nov-2014;3627;3116;2428;1634;97.0505;165.85847;192.28181;307.17286
Dec-2014;3619;3120;2429;1635;96.84532;166.26627;192.44456;307.44839
Jan-2015;3618;3122;2429;1637;96.85047;166.52075;192.4693;308.09852
Feb-2015;3632;3153;2436;1645;97.37219;168.54298;193.1613;310.21936
Mar-2015;3619;3164;2436;1639;96.99177;169.35876;193.19013;309.36045
Apr-2015;3617;3184;2434;1633;96.96774;170.66132;193.14357;308.50332
May-2015;3610;3192;2435;1619;96.78788;171.24441;193.39046;306.27944
Jun-2015;3607;3200;2440;1613;96.80583;171.94084;193.86764;305.47391
Jul-2015;3605;3213;2450;1614;96.89802;172.74933;194.73543;305.81096
Aug-2015;3615;3231;2452;1624;97.34203;173.86443;194.97256;307.75237
Sep-2015;3621;3245;2458;1626;97.6551;174.75958;195.49402;308.22211
Oct-2015;3628;3268;2467;1630;97.98933;176.29363;196.2721;308.93894
Nov-2015;3642;3292;2472;1630;98.48054;177.80913;196.71559;308.89425
Dec-2015;3652;3304;2465;1632;98.83323;178.60727;196.26559;309.35355
Jan-2016;3644;3304;2451;1630;98.61794;178.75242;195.27966;309.22248
Feb-2016;3665;3325;2455;1633;99.42391;180.23007;195.83648;310.07121
Mar-2016;3657;3336;2449;1630;99.36953;181.01535;195.49219;309.60183
Apr-2016;3652;3346;2442;1626;99.35489;181.82615;195.13809;309.12043
May-2016;3643;3347;2434;1624;99.15988;182.2102;194.64089;308.91534
Jun-2016;3645;3353;2433;1620;99.29839;182.71016;194.65793;308.40901
Jul-2016;3644;3365;2437;1625;99.26808;183.51229;195.04635;309.53146
Aug-2016;3644;3376;2442;1630;99.3397;184.25691;195.50151;310.47517
Sep-2016;3648;3386;2441;1635;99.5675;184.93432;195.44155;311.44321
Oct-2016;3655;3401;2444;1647;99.8294;185.94387;195.76982;313.96846
Nov-2016;3653;3407;2445;1649;99.82128;186.45262;195.92412;314.41939
Dec-2016;3653;3422;2448;1651;99.85324;187.44544;196.20867;314.86642
Jan-2017;3660;3420;2446;1652;100.1406;187.42038;196.10307;315.18021
Feb-2017;3675;3458;2469;1660;100.78644;189.80975;198.02276;316.66137
Mar-2017;3678;3468;2477;1666;100.9692;190.45085;198.70431;318.03701
Apr-2017;3679;3477;2492;1674;101.20541;191.13098;199.95741;319.68115
May-2017;3676;3480;2492;1677;101.22915;191.46173;200.02497;320.21449
Jun-2017;3679;3487;2498;1681;101.37695;192.00877;200.51798;321.15145
Jul-2017;3681;3496;2504;1687;101.52447;192.74665;201.07822;322.51297
Aug-2017;3683;3507;2506;1689;101.61964;193.53627;201.32234;323.05567
Sep-2017;3687;3505;2505;1691;101.80736;193.53441;201.27196;323.45182
Oct-2017;3688;3508;2504;1693;101.89313;193.7595;201.26563;323.87744
Nov-2017;3691;3516;2504;1694;101.99491;194.28293;201.32056;324.10752
Dec-2017;3692;3520;2505;1691;102.08988;194.55873;201.42392;323.50263
Jan-2018;3693;3524;2505;1693;102.11129;194.78498;201.43529;323.84052
Feb-2018;3706;3542;2516;1699;102.61123;195.97716;202.33915;325.44038
Mar-2018;3707;3546;2517;1702;102.6582;196.24979;202.43459;326.10191
Apr-2018;3711;3554;2521;1704;102.7929;196.76074;202.80778;326.77972
May-2018;3720;3559;2526;1706;103.09245;197.07456;203.21712;327.3876
Jun-2018;3725;3562;2534;1708;103.29391;197.29568;203.89581;328.46801
Jul-2018;3730;3571;2542;1714;103.5038;197.86846;204.54298;329.68272
Aug-2018;3737;3575;2547;1717;103.77367;198.12833;204.95486;330.97402
Sep-2018;3742;3580;2548;1720;103.9268;198.43499;205.03646;332.05654
Oct-2018;3745;3588;2554;1723;104.03777;198.94407;205.54652;333.2652
Nov-2018;3758;3591;2559;1722;104.44147;199.17834;205.95587;333.36374
Dec-2018;3760;3597;2565;1727;104.49588;199.5723;206.44368;334.92967
Jan-2019;3768;3599;2569;1726;104.70898;199.69785;206.78362;334.96335
Feb-2019;3779;3611;2585;1727;105.15831;200.43904;208.10099;335.70381
Mar-2019;3781;3612;2593;1730;105.29524;200.51951;208.76489;336.6207
Apr-2019;3784;3626;2600;1727;105.41859;201.40366;209.37668;336.44801
May-2019;3793;3630;2611;1724;105.69955;201.6887;210.27027;336.21544
Jun-2019;3799;3639;2625;1732;105.89662;202.26612;211.42234;338.04419
Jul-2019;3806;3646;2635;1739;106.13536;202.73677;212.25789;339.68127
Aug-2019;3810;3660;2652;1742;106.31555;203.59952;213.70894;340.33435
Sep-2019;3814;3669;2662;1748;106.45215;204.21495;214.52892;341.73245
Oct-2019;3823;3685;2675;1755;106.73423;205.19857;215.59487;343.01208
Nov-2019;3826;3699;2689;1768;106.83941;206.07723;216.74238;345.76738
Dec-2019;3829;3705;2695;1775;106.97181;206.53788;217.25862;347.48891
Jan-2020;3832;3713;2700;1777;106.99719;207.04062;217.67033;348.0957
Feb-2020;3839;3726;2721;1789;107.20246;207.88892;219.39626;350.96706
Mar-2020;3838;3734;2727;1784;107.20871;208.45834;219.90434;350.31822
Apr-2020;3842;3745;2737;1791;107.35452;209.21069;220.73554;351.92898
May-2020;3849;3760;2755;1802;107.5503;210.16841;222.20603;354.41091
Jun-2020;3853;3769;2773;1803;107.6636;210.71748;223.72665;354.30026
Jul-2020;3864;3790;2794;1813;108.01358;212.08416;225.4732;355.76359
Aug-2020;3868;3796;2801;1817;108.1445;212.57231;226.0498;356.68601
Sep-2020;3872;3795;2809;1824;108.31041;212.59712;226.72538;358.27685
Oct-2020;3871;3806;2818;1829;108.35857;213.29743;227.50422;359.36759
Nov-2020;3878;3812;2825;1830;108.60269;213.70958;228.08176;359.1769
Dec-2020;3881;3819;2830;1840;108.6939;214.17515;228.51275;361.2954
Jan-2021;3886;3823;2831;1839;108.81481;214.52102;228.62209;361.27949
Feb-2021;3897;3830;2843;1850;109.03108;215.01109;229.67052;363.12684
Mar-2021;3898;3835;2844;1854;109.01464;215.34191;229.79459;363.96416
Apr-2021;3911;3847;2854;1860;109.35267;216.07934;230.65228;365.42062
May-2021;3924;3857;2864;1866;109.65606;216.70489;231.47208;366.68373
Jun-2021;3941;3859;2873;1872;110.1303;216.89465;232.22587;367.88366
Jul-2021;3953;3872;2890;1879;110.44827;217.64083;233.63956;369.39144
Aug-2021;3963;3883;2892;1886;110.68738;218.33376;233.81654;370.94964
Sep-2021;3973;3892;2899;1887;111.02399;218.89182;234.41438;371.27444
Oct-2021;3983;3904;2907;1897;111.2359;219.59764;235.08984;373.60075
Nov-2021;3996;3909;2914;1902;111.63179;219.9183;235.67384;374.59382
Dec-2021;4003;3919;2922;1909;111.83776;220.52504;236.35031;376.04282
Jan-2022;4006;3923;2925;1913;111.89231;220.77721;236.59858;376.91123
Feb-2022;4020;3940;2938;1922;112.32314;221.83358;237.67321;378.97038
Mar-2022;4028;3945;2943;1922;112.52536;222.13301;238.08872;378.9462
Apr-2022;4039;3951;2947;1927;112.88375;222.49074;238.44531;380.12798
May-2022;4049;3958;2958;1928;113.15623;222.91149;239.35284;380.52546
Jun-2022;4053;3964;2971;1931;113.2768;223.27904;240.41552;381.15806
Jul-2022;4068;3974;2982;1932;113.78127;223.86787;241.3519;381.4083
Aug-2022;4081;3984;2988;1936;114.11979;224.43853;241.87442;382.32044
Sep-2022;4096;3996;2997;1938;114.4532;225.15474;242.62281;382.74229
Oct-2022;4110;4005;3007;1942;114.77487;225.72435;243.45245;383.53713
Nov-2022;4126;4016;3013;1945;115.10015;226.38197;243.98887;384.04118
Dec-2022;4142;4029;3026;1949;115.4266;227.16556;245.08466;384.86338
Jan-2023;4151;4036;3033;1946;115.56634;227.61904;245.65247;384.36836
Feb-2023;4167;4052;3042;1955;115.96897;228.59488;246.41896;386.07004
Mar-2023;4178;4056;3049;1957;116.2767;228.86556;246.999;386.44842
Apr-2023;4189;4070;3060;1963;116.67182;229.75159;247.90882;387.63894
May-2023;4205;4080;3073;1967;117.06411;230.40094;248.99517;388.4624
Jun-2023;4212;4086;3083;1972;117.19888;230.85444;249.83851;389.43814
Jul-2023;4226;4092;3097;1975;117.63582;231.31327;251.0106;389.95085
Aug-2023;4232;4102;3100;1980;117.80736;231.96556;251.32905;390.91663
Sep-2023;4246;4115;3101;1986;118.24463;232.86192;251.47047;392.17753
Oct-2023;4258;4123;3106;1989;118.63555;233.40404;251.9352;392.69133
Nov-2023;4266;4131;3116;1994;118.90317;233.96497;252.78227;393.68501
Dec-2023;4277;4142;3130;1995;119.26303;234.71337;253.97493;393.86829
Jan-2024;4280;4153;3133;1996;119.34439;235.3903;254.22138;394.07837
Feb-2024;4289;4166;3148;2006;119.69352;236.23317;255.45395;396.09652
;;;;;;;;
Please note the following;;;;;;;;
30200: As at Start of Period Specified;;;;;;;;
30201: Annual data for future years are forecasts and are subject to change. As at Start of Period Specified;;;;;;;;
30202: As at Start of Period Specified;;;;;;;;
30204: Annual data for future years are forecasts and are subject to change. As at Start of Period Specified;;;;;;;;
30206: As at Start of Period Specified;;;;;;;;
30207: Annual data for future years are forecasts and are subject to change. As at Start of Period Specified;;;;;;;;
30208: As at Start of Period Specified;;;;;;;;
30209: Annual data for future years are forecasts and are subject to change. As at Start of Period Specified;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
© Clarkson Research Services Limited 2024;;;;;;;;
