"","World.Steel.Production..000.tonnes."
"09-08-2006",3282.41935483871
"10-08-2006",3282.41935483871
"11-08-2006",3282.41935483871
"12-08-2006",3282.41935483871
"13-08-2006",3282.41935483871
"14-08-2006",3282.41935483871
"15-08-2006",3282.41935483871
"16-08-2006",3282.41935483871
"17-08-2006",3282.41935483871
"18-08-2006",3282.41935483871
"19-08-2006",3282.41935483871
"20-08-2006",3282.41935483871
"21-08-2006",3282.41935483871
"22-08-2006",3282.41935483871
"23-08-2006",3282.41935483871
"24-08-2006",3282.41935483871
"25-08-2006",3282.41935483871
"26-08-2006",3282.41935483871
"27-08-2006",3282.41935483871
"28-08-2006",3282.41935483871
"29-08-2006",3282.41935483871
"30-08-2006",3282.41935483871
"31-08-2006",3282.41935483871
"01-09-2006",3426.43333333333
"02-09-2006",3426.43333333333
"03-09-2006",3426.43333333333
"04-09-2006",3426.43333333333
"05-09-2006",3426.43333333333
"06-09-2006",3426.43333333333
"07-09-2006",3426.43333333333
"08-09-2006",3426.43333333333
"09-09-2006",3426.43333333333
"10-09-2006",3426.43333333333
"11-09-2006",3426.43333333333
"12-09-2006",3426.43333333333
"13-09-2006",3426.43333333333
"14-09-2006",3426.43333333333
"15-09-2006",3426.43333333333
"16-09-2006",3426.43333333333
"17-09-2006",3426.43333333333
"18-09-2006",3426.43333333333
"19-09-2006",3426.43333333333
"20-09-2006",3426.43333333333
"21-09-2006",3426.43333333333
"22-09-2006",3426.43333333333
"23-09-2006",3426.43333333333
"24-09-2006",3426.43333333333
"25-09-2006",3426.43333333333
"26-09-2006",3426.43333333333
"27-09-2006",3426.43333333333
"28-09-2006",3426.43333333333
"29-09-2006",3426.43333333333
"30-09-2006",3426.43333333333
"01-10-2006",3414.67741935484
"02-10-2006",3414.67741935484
"03-10-2006",3414.67741935484
"04-10-2006",3414.67741935484
"05-10-2006",3414.67741935484
"06-10-2006",3414.67741935484
"07-10-2006",3414.67741935484
"08-10-2006",3414.67741935484
"09-10-2006",3414.67741935484
"10-10-2006",3414.67741935484
"11-10-2006",3414.67741935484
"12-10-2006",3414.67741935484
"13-10-2006",3414.67741935484
"14-10-2006",3414.67741935484
"15-10-2006",3414.67741935484
"16-10-2006",3414.67741935484
"17-10-2006",3414.67741935484
"18-10-2006",3414.67741935484
"19-10-2006",3414.67741935484
"20-10-2006",3414.67741935484
"21-10-2006",3414.67741935484
"22-10-2006",3414.67741935484
"23-10-2006",3414.67741935484
"24-10-2006",3414.67741935484
"25-10-2006",3414.67741935484
"26-10-2006",3414.67741935484
"27-10-2006",3414.67741935484
"28-10-2006",3414.67741935484
"29-10-2006",3414.67741935484
"30-10-2006",3414.67741935484
"31-10-2006",3414.67741935484
"01-11-2006",3473.16666666666
"02-11-2006",3473.16666666666
"03-11-2006",3473.16666666666
"04-11-2006",3473.16666666666
"05-11-2006",3473.16666666666
"06-11-2006",3473.16666666666
"07-11-2006",3473.16666666666
"08-11-2006",3473.16666666666
"09-11-2006",3473.16666666666
"10-11-2006",3473.16666666666
"11-11-2006",3473.16666666666
"12-11-2006",3473.16666666666
"13-11-2006",3473.16666666666
"14-11-2006",3473.16666666666
"15-11-2006",3473.16666666666
"16-11-2006",3473.16666666666
"17-11-2006",3473.16666666666
"18-11-2006",3473.16666666666
"19-11-2006",3473.16666666666
"20-11-2006",3473.16666666666
"21-11-2006",3473.16666666666
"22-11-2006",3473.16666666666
"23-11-2006",3473.16666666666
"24-11-2006",3473.16666666666
"25-11-2006",3473.16666666666
"26-11-2006",3473.16666666666
"27-11-2006",3473.16666666666
"28-11-2006",3473.16666666666
"29-11-2006",3473.16666666666
"30-11-2006",3473.16666666666
"01-12-2006",3385.03225806451
"02-12-2006",3385.03225806451
"03-12-2006",3385.03225806451
"04-12-2006",3385.03225806451
"05-12-2006",3385.03225806451
"06-12-2006",3385.03225806451
"07-12-2006",3385.03225806451
"08-12-2006",3385.03225806451
"09-12-2006",3385.03225806451
"10-12-2006",3385.03225806451
"11-12-2006",3385.03225806451
"12-12-2006",3385.03225806451
"13-12-2006",3385.03225806451
"14-12-2006",3385.03225806451
"15-12-2006",3385.03225806451
"16-12-2006",3385.03225806451
"17-12-2006",3385.03225806451
"18-12-2006",3385.03225806451
