Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;
Created 23 February 2024 11:49;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;No;No;No;No;CGT;CGT;CGT;CGT;DWT;DWT;DWT;GT;GT;GT;DWT
Date;Handysize Bulker Orderbook [No];Handymax Bulker Orderbook [No];Panamax Bulker Orderbook [No];Capesize Bulker Orderbook [No];Handysize Bulker Orderbook [CGT];Handymax Bulker Orderbook [CGT];Panamax Bulker Orderbook [CGT];Capesize Bulker Orderbook [CGT];Handysize Bulker Orderbook [DWT];Handymax Bulker Orderbook [DWT];Capesize Bulker Orderbook [DWT];Handysize Bulker Orderbook [GT];Handymax Bulker Orderbook [GT];Capesize Bulker Orderbook [GT];Panamax Bulker Orderbook [DWT]
Nov-1998;96;89;117;51;1030340.91865;1343170.09943;2186444.09471;1542004.1994;2543111;4247833;8654226;1580846;2532701;4404727;8777239
Dec-1998;91;87;117;52;971819.74229;1313507.4413;2192729.0265;1578348.32015;2391178;4150608;8901762;1487184;2477476;4523905;8807133
Jan-1999;95;83;116;52;1009183.26557;1252938.54699;2173858.92129;1578348.32015;2481638;3958868;8901762;1541720;2363235;4523905;8734775
Feb-1999;89;77;118;50;945418.03498;1161211.1226;2238332.69202;1519326.65993;2328248;3677884;8564558;1443738;2187847;4353473;8883595
Mar-1999;84;74;114;49;890068.20961;1116078.7704;2165667.37018;1488391.45823;2190660;3532083;8391159;1357810;2103120;4261455;8588932
Apr-1999;77;67;109;45;818112.07805;1009903.50119;2072880.89784;1368958.36672;2021439;3200087;7708052;1249802;1902363;3914019;8215122
May-1999;79;73;105;45;848184.68794;1099540.81439;2000084.48344;1363262.77197;2109689;3498658;7637215;1304680;2070014;3885443;7921322
Jun-1999;75;73;118;43;803358.28156;1101129.50571;2244101.79641;1303437.43941;2001180;3509233;7293108;1234631;2074900;3711212;8894889
Jul-1999;67;80;122;42;718917.50042;1208926.57778;2343973.58213;1273502.89486;1802690;3869335;7118923;1106991;2280167;3623989;9184729
Aug-1999;70;83;137;46;744189.04525;1251888.5199;2623771.83234;1385910.17652;1857609;4025697;7616955;1139759;2357397;3939220;10302392
Sep-1999;68;95;143;45;727091.93874;1435916.18929;2735952.58097;1355922.61507;1810942;4637031;7444389;1116912;2707139;3851747;10757132
Oct-1999;72;101;151;48;772578.21467;1526009.16185;2885123.79485;1444390.22138;1924011;4943516;7958406;1186190;2875916;4107059;11357022
Nov-1999;75;114;159;52;802553.35673;1732827.79987;3031707.30422;1566945.29293;1988461;5619840;8660190;1228607;3278151;4469533;11954921
Dec-1999;75;115;164;63;806560.91536;1748771.54804;3123730.60442;1903669.68401;1994274;5681855;10606655;1237347;3309069;5466412;12324847
Jan-2000;89;135;177;67;956379.44251;2061712.18271;3369105.21964;2022704.70645;2361848;6700519;11289652;1464364;3912119;5811944;13312900
Feb-2000;91;137;173;72;983165.96873;2095723.35564;3296907.56254;2173819.08656;2424125;6826302;12156890;1510380;3980569;6254912;13005344
Mar-2000;89;149;177;70;964494.00677;2295058.71146;3371628.57141;2086131.39172;2380273;7395889;11801976;1483402;4382281;6068676;13317753
Apr-2000;94;157;178;71;1033329.57649;2418523.70393;3386245.19216;2117288.5128;2567126;7812204;11984532;1607406;4617808;6161810;13381293
May-2000;98;171;183;68;1074496.32444;2633156.20739;3475847.94214;2029054.30075;2656751;8524139;11477215;1671159;5025663;5907582;13737370
