"Date","Ind Prod Excl Const VOLA","OC.PRODUCTION...TOTAL.INDUSTRY.EXCL..CONSTRUCTION.SADJ"
"26-01-2009",85.2652436239813,-16.6827222989103
"27-01-2009",85.230091445226,-16.7209880859165
"28-01-2009",85.1983407469553,-16.7552958482888
"29-01-2009",85.1699914414118,-16.7856461775602
"30-01-2009",85.1450434502391,-16.8120395970298
"31-01-2009",85.1234967044823,-16.834476561772
"01-02-2009",85.1053511445878,-16.8529574586443
"02-02-2009",85.0868198520186,-16.8706509926062
"03-02-2009",85.0679027755552,-16.8875574687293
"04-02-2009",85.048599862912,-16.9036771785143
"05-02-2009",85.0289110607363,-16.9190103998964
"06-02-2009",85.0088363146101,-16.9335573972506
"07-02-2009",84.9883755690471,-16.9473184213958
"08-02-2009",84.967528767495,-16.9602937095986
"09-02-2009",84.9462958523345,-16.9724834855788
"10-02-2009",84.9246767648788,-16.983887959512
"11-02-2009",84.9026714453737,-16.9945073280335
"12-02-2009",84.880279832998,-17.0043417742422
"13-02-2009",84.857501865862,-17.0133914677033
"14-02-2009",84.8343374810086,-17.021656564451
"15-02-2009",84.8107866144134,-17.0291372069921
"16-02-2009",84.7868492009818,-17.0358335243073
"17-02-2009",84.762525174553,-17.0417456318543
"18-02-2009",84.7378144678963,-17.0468736315693
"19-02-2009",84.7127170127117,-17.0512176118695
"20-02-2009",84.6872327396332,-17.0547776476533
"21-02-2009",84.6613615782216,-17.0575538003026
"22-02-2009",84.6351034569712,-17.059546117684
"23-02-2009",84.6084583033058,-17.0607546341487
"24-02-2009",84.5814260435799,-17.0611793705344
"25-02-2009",84.5540066030767,-17.0608203341635
"26-02-2009",84.5261999060115,-17.0596775188463
"27-02-2009",84.4980058755271,-17.0577509048782
"28-02-2009",84.4694244336972,-17.0550404590405
"01-03-2009",84.4404555015237,-17.0515461345997
"02-03-2009",84.4124500129762,-17.0489987701977
"03-03-2009",84.3854078906486,-17.0473983219127
"04-03-2009",84.3593290597975,-17.0467447621498
"05-03-2009",84.334213448343,-17.0470380796403
"06-03-2009",84.3100609868664,-17.0482782794419
"07-03-2009",84.2868716086117,-17.0504653829377
"08-03-2009",84.2646452494846,-17.0535994278381
"09-03-2009",84.2433818480527,-17.0576804681797
"10-03-2009",84.223081345545,-17.0627085743278
"11-03-2009",84.2037436858518,-17.0686838329769
"12-03-2009",84.1853688155251,-17.0756063471521
"13-03-2009",84.1679566837772,-17.0834762362112
"14-03-2009",84.1515072424824,-17.0922936358463
"15-03-2009",84.1360204461749,-17.102058698087
"16-03-2009",84.1214962520505,-17.112771591302
"17-03-2009",84.1079346199646,-17.1244325002024
"18-03-2009",84.0953355124335,-17.1370416258452
"19-03-2009",84.083698894634,-17.1505991856368
"20-03-2009",84.0730247344034,-17.1651054133358
"21-03-2009",84.0633130022387,-17.1805605590577
"22-03-2009",84.0545636712971,-17.1969648892802
"23-03-2009",84.0467767173959,-17.2143186868457
"24-03-2009",84.0399521190123,-17.2326222509678
"25-03-2009",84.0340898572838,-17.2518758972358
"26-03-2009",84.0291899160068,-17.2720799576203
"27-03-2009",84.0252522816386,-17.2932347804792
"28-03-2009",84.0222769432958,-17.3153407305628
"29-03-2009",84.0202638927542,-17.3383981890211
"30-03-2009",84.0192131244505,-17.3624075534099
