Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;;
Created 23 February 2024 11:52;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Date;No;No;No;No;DWT;DWT;DWT;DWT;$m;$m;$m;$m;GT;GT;GT;GT
Date;Handysize Bulker Sales [No];Handymax Bulker Sales [No];Panamax Bulker Sales [No];Capesize Sales [No];Handysize Bulker Sales [DWT];Handymax Bulker Sales [DWT];Panamax Bulker Sales [DWT];Capesize Sales [DWT];Handysize Bulker Sales [$m];Handymax Bulker Sales [$m];Panamax Bulker Sales [$m];Capesize Sales [$m];Handysize Bulker Sales [GT];Handymax Bulker Sales [GT];Panamax Bulker Sales [GT];Capesize Sales [GT]
Jun-1999;9;1;6;1;235498;44710;415874;251192;28.87;3.7;51.85;14.5;143053;26718;226334;123958
Jul-1999;11;4;11;4;334428;177487;733746;647506;52.35;28.05;59.55;53.45;199468;102068;414741;329030
Aug-1999;14;5;6;1;396865;235112;386073;179845;71.06;37.9;43.2;11.9;235351;140041;219271;92300
Sep-1999;12;13;4;0;294383;572717;279663;0;39.25;130.5;56.3;0;177735;356452;146268;0
Oct-1999;19;10;7;5;553348;444348;490551;840001;90.75;102.5;82.85;58.7;333155;268448;261337;442261
Nov-1999;22;1;6;0;636730;40599;403119;0;141.2;5.9;28.4;0;385880;24577;216565;0
Dec-1999;5;0;1;1;143761;0;64482;164899;17.69;0;3.1;0;88604;0;35646;83784
Jan-2000;9;2;2;0;228074;90965;138160;0;36.56;27.2;7.95;0;135874;55871;75695;0
Feb-2000;13;0;7;1;387934;0;462304;194691;47.5;0;58.95;9.5;236258;0;263169;86208
Mar-2000;6;3;4;5;155938;133526;275366;752722;28.92;19.16;41.25;54.15;95654;82025;150179;394960
Apr-2000;7;7;3;2;184408;333242;197218;285519;19.35;50.1;25.75;19.05;110287;188184;107272;153448
May-2000;13;4;6;1;384830;181962;392130;136999;71.05;70;41;10.5;236475;105653;214913;71560
Jun-2000;19;5;5;2;530238;232453;342999;337052;79.09;33.2;41.5;43;329007;142427;180739;176226
Jul-2000;11;3;5;2;315257;147287;365113;328717;53.85;6.35;47.3;62.6;192498;88762;200317;171412
Aug-2000;17;1;2;0;468970;43366;127955;0;67.297;8;12;0;287058;25899;70828;0
Sep-2000;12;3;4;2;320254;126638;282045;264649;52.47;32.8;47.45;23.1;199369;101712;149247;112133
Oct-2000;14;4;11;3;393496;177398;756769;486901;69.45;57.35;172.25;44.55;240057;101206;400726;247903
Nov-2000;11;5;6;5;314321;214027;422749;830050;54.125;35.65;69.65;76.1;186901;134479;229888;425002
Dec-2000;5;2;4;12;122227;89153;265916;2004302;26.05;28.1;19.7;180;75314;50214;137072;1033405
Jan-2001;8;4;6;2;199413;178187;414978;303890;19.34;46.5;99.5;7.5;118026;106424;226908;163476
Feb-2001;8;2;3;0;239209;92361;194597;0;25.55;5.8;21;0;144557;53703;110657;0
Mar-2001;9;3;4;0;278253;142832;273326;0;42.8;20.5;31.25;0;170393;82755;144124;0
Apr-2001;9;4;7;0;217767;177652;480377;0;27.96;13.45;82.9;0;134432;106084;262906;0
May-2001;10;2;3;2;251159;93139;210750;336446;34.05;33.6;24.95;33;158943;53645;116634;181386
Jun-2001;13;1;12;4;342372;44820;843417;617553;62.7;11.75;161.75;60.35;206173;26136;466815;324178
Jul-2001;11;6;3;3;358090;272807;198547;469408;43.05;68.25;27.1;75.3;219861;171331;111125;237551
Aug-2001;2;0;5;3;61543;0;377197;422147;7.55;0;70.75;26;35573;0;206590;229948
Sep-2001;4;1;3;2;132254;42648;217243;342811;18;14.5;32;14.2;81730;24987;113529;179382
Oct-2001;5;1;4;0;162117;42850;283372;0;16.38;12.4;26.8;0;95907;27011;149287;0
Nov-2001;18;2;5;2;523201;80875;352188;281336;55.15;3;37;21.4;314187;47410;186698;147785
Dec-2001;11;2;4;0;299983;83674;285073;0;48.15;10.2;48.35;0;180715;48473;150998;0
Jan-2002;5;3;7;1;131939;130441;494928;149383;17.55;21.85;32.8;17.75;77694;76804;263091;77273
Feb-2002;20;8;7;1;619332;364500;491749;139609;82.1;58.85;75.05;2.85;370947;212689;270460;72934
Mar-2002;19;11;9;3;522491;498305;610453;431970;67.15;107.5;87;33.1;322005;293332;326773;223408
Apr-2002;17;7;9;3;528617;306602;597734;450311;75.32;58.45;80.55;41.25;315353;175439;327145;230296
May-2002;21;6;5;3;598502;271326;334793;525859;89.35;70.7;30.3;47.35;363913;160435;182200;270097
Jun-2002;14;10;6;2;347569;456815;430455;281347;40.85;85.35;62.85;10.5;215290;270004;230758;147740
Jul-2002;7;3;4;2;216362;132400;286678;274547;32;30.95;39.7;21.1;129757;76855;147107;146234
Aug-2002;10;4;5;0;265503;164991;332340;0;26.35;27.7;47.6;0;157828;96628;180577;0
Sep-2002;13;6;5;1;333711;259756;362175;161043;57.675;45;58.95;0;210584;149547;191071;85504
Oct-2002;25;9;13;9;651003;407247;887887;1418237;91.4;35.1;113.65;114;403217;239275;477759;728706
Nov-2002;13;11;7;3;363746;520746;464573;545174;49.6;101.1;77.05;52.7;223985;302346;255830;275473
Dec-2002;9;6;7;6;230774;276838;496709;926934;50.03;79.3;65.15;92.1;137157;157935;269240;478826
Jan-2003;10;7;8;1;295403;312097;566950;145968;40.7;37.45;101.25;7;182126;192542;306559;75905
Feb-2003;11;6;2;3;285441;276743;135370;580665;58.61;65.25;17.8;24;173059;162170;72377;299668
Mar-2003;12;13;9;4;326924;582172;655277;626529;53.5;113.1;67.7;96.85;201329;347299;347345;327227
Apr-2003;19;11;16;3;572075;501671;1106368;491286;87.1;125.46;175.82;92.3;338739;294453;593669;252893
May-2003;17;10;5;1;412382;499180;336019;149508;81.52;110.2;42.1;18.8;262439;287756;189114;77090
Jun-2003;10;7;4;5;260485;319929;267581;800527;64.3;73.65;35.15;65;159002;187442;146403;420773
Jul-2003;14;5;14;4;398245;226433;975457;642924;75.9;62.2;202.2;69.5;248742;129174;536574;334698
