"","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Coal.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Grain.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Coal.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Coal.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Grain.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Grain.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator....Yr.Yr.3mma."
"11-01-2015",91.2788875995918,100.917187547898,101.326572898942,100.187067936456,97.7333946650771,4.71134974981524,4.68398184183127,4.68232440066007,3.50201714135339,8.38769876030438,8.0026216568293,-10.4768406985464,-9.9947547060325,-0.49223713917526,-0.447958007337221
"12-01-2015",90.8598958095252,100.682924950745,100.82508318148,99.8821685484843,97.4043161649064,4.75244775853566,4.72604646337794,4.51208727215246,3.40034768421025,8.42060943188113,7.97149324054557,-10.578274173637,-9.93454782518755,-0.527877898691595,-0.455495955938772
"13-01-2015",90.4799540478643,100.425322651975,100.336575606282,99.5697779875129,97.0792158301583,4.79038456932578,4.77006798225087,4.31586087817534,3.28846465746615,8.4338122771913,7.93290178556627,-10.6456273388713,-9.86507542938079,-0.558248193182377,-0.462299974302339
"14-01-2015",90.1374698464607,100.143750571757,99.8598763304489,99.2491828916307,96.7571097715232,4.8264119950559,4.81605139091565,4.09346172507703,3.16636568118894,8.42740635082382,7.88684249082364,-10.6791531461081,-9.78633648725088,-0.583917849542688,-0.468370482232637
"15-01-2015",89.8310077348368,99.8375200016058,99.3938398854413,98.9196511633972,96.4370231616206,4.8617188440173,4.8640019043351,3.84468184474527,3.03404815813695,8.40134359219869,7.83330962619433,-10.6789775050244,-9.69832982986887,-0.605368498287704,-0.473707854277139
"16-01-2015",89.5592832236293,99.5058819198438,98.9373464246098,98.5804302980552,96.1179872847649,4.89747014740315,4.91392496056075,3.56928860013374,2.89150927370337,8.35542846499162,7.77229653178663,-10.6450997559817,-9.60105415072072,-0.623002610212549,-0.478312419749168
"17-01-2015",89.3211574208476,99.148025159538,98.4892990322993,98.2307456651425,95.7990366052273,4.93484560220895,4.96582622134951,3.26702446772038,2.73874599585674,8.28931649011912,7.70379561711187,-10.5773926675488,-9.49450800568802,-0.637151047806846,-0.482184462748242
"18-01-2015",89.1156322583809,98.7630744244342,98.048621088052,97.8697987395785,95.4792058451215,4.97507849806512,5.01971157280582,2.93760679669402,2.57575507507616,8.20251166127789,7.6277983601401,-10.4756019586711,-9.37868981302638,-0.648079273108411,-0.48532422217758
"19-01-2015",88.9418463087476,98.3500881480347,97.614253679578,97.4967652781862,95.1575270630702,5.01949641248262,5.07558712604918,2.58072754464429,2.4025330442824,8.09436272364843,7.54429530623992,-10.3393453436914,-9.25359785334212,-0.655992328471843,-0.487731891758857
"20-01-2015",88.7990711745525,97.9080561905829,97.1851530582778,97.110793437485,94.8330267248102,5.06956501734533,5.13345921790718,2.1960529895074,2.21907621876404,7.96405828784382,7.45327606700224,-10.1681110966359,-9.11923026956664,-0.661038683704369,-0.489407620044141
