,Actual,RW_pred,MLP_pred_[],LSTM_pred_[],RW_res,MLP_res_[],LSTM_res_[]
0,9.217812386814884,9.184406989949679,8.509286,8.736292,-0.033405396865205716,-0.7085264599960368,-0.4815205014389079
1,9.22197245620589,9.184406989949679,8.563469,8.543745,-0.037565466256211266,-0.6585035231004213,-0.6782274153123353
2,9.213535262872702,9.184406989949679,8.339413,8.543858,-0.02912827292302289,-0.8741225736637173,-0.669677688409811
3,9.201804040953895,9.184406989949679,8.489023,8.657172,-0.017397051004216735,-0.7127808323357314,-0.5446318378899306
4,9.229750765496005,9.184406989949679,8.528564,8.725167,-0.045343775546326626,-0.7011863123710054,-0.5045834910209077
5,9.257510176452573,9.184406989949679,8.46365,8.554734,-0.0731031865028946,-0.793860426696714,-0.7027759464110694
6,9.272563715156315,9.184406989949679,8.262111,8.538726,-0.08815672520663576,-1.0104530050122715,-0.7338378621900059
7,9.30782999325344,9.184406989949679,8.429449,8.347191,-0.12342300330376155,-0.8783809118325419,-0.9606391363198465
8,9.388570235866881,9.184406989949679,8.631278,8.513788,-0.20416324591720247,-0.7572921978419789,-0.8747820126002797
9,9.44200749423127,9.184406989949679,8.536611,8.59656,-0.25760050428159076,-0.90539689089875,-0.8454479696951367
10,9.530102337891375,9.184406989949679,8.578491,8.550576,-0.345695347941696,-0.9516111269538747,-0.9795261278694021
11,9.62483129129166,9.184406989949679,8.508476,8.767599,-0.44042430134198085,-1.1163550339674408,-0.8572321854566987
12,9.71902370267014,9.184406989949679,8.489633,8.557533,-0.534616712720462,-1.229391096163793,-1.1614904385099845
13,9.798127036878302,9.184406989949679,8.355672,8.472286,-0.6137200469286235,-1.4424551542489077,-1.3258408125130678
14,9.852720435482475,9.184406989949679,8.477673,8.566596,-0.6683134455327959,-1.3750478585781778,-1.2861244042935098
15,9.807141836749443,9.184406989949679,8.54738,8.5200205,-0.622734846799764,-1.2597613893617474,-1.2871213518251263
16,9.724121623567806,9.184406989949679,8.409312,8.62206,-0.5397146336181269,-1.3148093753378252,-1.102061801485286
17,9.721245992542345,9.184406989949679,8.613458,8.588108,-0.5368390025926661,-1.1077883127938097,-1.1331379297982043
18,9.883794919190391,9.184406989949679,8.499774,8.533117,-0.6993879292407126,-1.3840209400033796,-1.3506776248788679
19,9.994287576862567,9.184406989949679,8.491024,8.464928,-0.8098805869128878,-1.5032635595285821,-1.5293599035227228
20,10.08159189604006,9.994287576862567,8.090954,8.467077,-0.08730431917749293,-1.9906380691357626,-1.614514640791036
21,10.109484945015367,9.994287576862567,8.223451,8.209375,-0.1151973681528009,-1.886034284309801,-1.9001095635456409
22,10.070949246423059,9.994287576862567,9.136612,8.660223,-0.07666166956049203,-0.934337307946496,-1.4107262392209101
23,10.117913213230615,9.994287576862567,8.774156,9.000981,-0.12362563636804857,-1.3437575964703612,-1.116931882359033
24,10.183502809926877,9.994287576862567,8.515273,8.659674,-0.18921523306430998,-1.6682297157496304,-1.523829119130978
25,10.225643512847986,9.994287576862567,7.94377,8.700303,-0.2313559359854196,-2.2818735810547732,-1.5253404351502322
26,10.250051552724132,9.994287576862567,8.753825,8.475889,-0.25576397586156574,-1.4962263650410268,-1.774162346791515
27,10.269033036643048,9.994287576862567,8.911364,8.435934,-0.2747454597804815,-1.3576694349584777,-1.833098969870587
28,10.241351677174485,9.994287576862567,8.415439,8.375981,-0.24706410031191872,-1.825913025135911,-1.8653703463029032
29,10.116136224757685,9.994287576862567,8.227404,8.519598,-0.12184864789511884,-1.888732584010615,-1.596538217555537
30,10.044379291233609,9.994287576862567,8.892725,8.693945,-0.05009171437104243,-1.1516543003888824,-1.3504343602033355
31,10.097243486955746,9.994287576862567,8.438652,7.9997206,-0.10295591009317917,-1.658591448381527,-2.0975229135304527
32,10.130105062661839,9.994287576862567,8.598557,8.765125,-0.13581748579927222,-1.5315475904328348,-1.3649797880036356
33,10.230450432489334,9.994287576862567,8.0118265,8.694092,-0.23616285562676786,-2.2186239172915805,-1.5363586356143344
34,10.271181562957294,9.994287576862567,8.359913,8.727571,-0.27689398609472704,-1.9112686906428404,-1.5436110292048522
35,10.273290940090206,9.994287576862567,8.772361,8.265686,-0.2790033632276394,-1.5009301383934286,-2.007604904933956
36,10.262908722142885,9.994287576862567,8.281761,8.636483,-0.2686211452803189,-1.9811475527092917,-1.6264255296990378
37,10.244485248089557,9.994287576862567,7.9430723,8.687406,-0.25019767122699044,-2.3014129290587952,-1.5570796618468812
38,10.21993928098399,9.994287576862567,8.64998,7.992652,-0.22565170412142344,-1.569959689614361,-2.2272873415919
39,10.188704088048116,9.994287576862567,8.320964,8.828145,-0.19441651118554937,-1.8677402284900104,-1.3605590608874714
