,Actual,RW_pred,"MLP_pred_[2, 4]","LSTM_pred_[2, 4]",RW_res,"MLP_res_[2, 4]","LSTM_res_[2, 4]"
0,9.217812386814884,9.184406989949679,9.106542541606187,8.541705648373377,-0.033405396865205716,-0.11126984520869776,-0.6761067384415078
1,9.22197245620589,9.184406989949679,8.315659336096688,8.762555313302299,-0.037565466256211266,-0.9063131201092016,-0.45941714290359137
2,9.213535262872702,9.184406989949679,8.169854083250884,8.662307495688598,-0.02912827292302289,-1.0436811796218173,-0.5512277671841037
3,9.201804040953895,9.184406989949679,8.571896876666642,8.954732557531358,-0.017397051004216735,-0.6299071642872534,-0.2470714834225376
4,9.229750765496005,9.184406989949679,9.369967990729805,8.40464679574584,-0.045343775546326626,0.14021722523379943,-0.825103969750165
5,9.257510176452573,9.184406989949679,9.06951431002676,8.36200880707327,-0.0731031865028946,-0.18799586642581367,-0.8955013693793035
6,9.272563715156315,9.184406989949679,8.830601578041692,8.368840188541386,-0.08815672520663576,-0.44196213711462207,-0.9037235266149288
7,9.30782999325344,9.184406989949679,9.177277692096226,8.521187823855291,-0.12342300330376155,-0.1305523011572145,-0.7866421693981493
8,9.388570235866881,9.184406989949679,9.169690866402666,8.657026653608083,-0.20416324591720247,-0.21887936946421505,-0.7315435822587979
9,9.44200749423127,9.184406989949679,8.203895969740508,8.974129221440583,-0.25760050428159076,-1.238111524490762,-0.4678782727906867
10,9.530102337891375,9.44200749423127,8.576484534223733,8.664295476580234,-0.08809484366010523,-0.9536178036676421,-0.8658068613111407
11,9.62483129129166,9.44200749423127,7.919350509922898,8.555382813766844,-0.1828237970603901,-1.7054807813687614,-1.0694484775248156
12,9.71902370267014,9.44200749423127,8.416095448719254,8.524131160380314,-0.2770162084388712,-1.3029282539508866,-1.1948925422898267
13,9.798127036878302,9.44200749423127,8.003202101919197,8.319978284004947,-0.3561195426470327,-1.7949249349591057,-1.4781487528733557
14,9.852720435482475,9.44200749423127,8.08615725140089,8.333210022482893,-0.41071294125120517,-1.7665631840815852,-1.5195104129995816
15,9.807141836749443,9.44200749423127,8.492997509948617,8.554202077349451,-0.3651343425181732,-1.3141443268008253,-1.2529397593999914
16,9.724121623567806,9.44200749423127,8.769878079220106,8.53395332695956,-0.2821141293365361,-0.9542435443476993,-1.1901682966082454
17,9.721245992542345,9.44200749423127,9.018050707621127,8.366347873137858,-0.2792384983110754,-0.7031952849212182,-1.3548981194044867
18,9.883794919190391,9.44200749423127,8.83009559232784,8.8256075039057,-0.4417874249591218,-1.0536993268625512,-1.0581874152846922
19,9.994287576862567,9.44200749423127,7.7086835589765865,8.615336355457458,-0.552280082631297,-2.28560401788598,-1.3789512214051083
