,Actual,RW_pred,MLP_pred_[4],LSTM_pred_[4],RW_res,MLP_res_[4],LSTM_res_[4]
0,9.217812386814884,9.184406989949679,8.489143367108657,8.615996924600347,-0.033405396865205716,-0.7286690197062278,-0.6018154622145371
1,9.22197245620589,9.184406989949679,8.669197569378914,8.51544674374334,-0.037565466256211266,-0.5527748868269757,-0.7065257124625504
2,9.213535262872702,9.184406989949679,8.7094862787081,8.649591517598319,-0.02912827292302289,-0.5040489841646014,-0.5639437452743827
3,9.201804040953895,9.184406989949679,8.895083499691252,8.440502966621185,-0.017397051004216735,-0.3067205412626439,-0.7613010743327102
4,9.229750765496005,9.184406989949679,8.879150759285062,8.463476388008228,-0.045343775546326626,-0.3506000062109429,-0.7662743774877772
5,9.257510176452573,9.184406989949679,8.543705756487439,8.403756596320923,-0.0731031865028946,-0.7138044199651343,-0.8537535801316505
6,9.272563715156315,9.184406989949679,8.243424496612537,8.716695525871717,-0.08815672520663576,-1.0291392185437775,-0.5558681892845971
7,9.30782999325344,9.184406989949679,8.672988552363277,8.701492274342426,-0.12342300330376155,-0.6348414408901633,-0.6063377189110142
8,9.388570235866881,9.184406989949679,8.07065976562256,8.512678721791701,-0.20416324591720247,-1.3179104702443212,-0.87589151407518
9,9.44200749423127,9.184406989949679,8.519379774275635,8.487195975964214,-0.25760050428159076,-0.922627719955635,-0.9548115182670553
10,9.530102337891375,9.44200749423127,8.431063934120955,8.532622137879239,-0.08809484366010523,-1.09903840377042,-0.9974802000121361
11,9.62483129129166,9.44200749423127,8.666147561893785,8.599828785750097,-0.1828237970603901,-0.9586837293978743,-1.025002505541563
12,9.71902370267014,9.44200749423127,8.588956454723883,8.2107853144721,-0.2770162084388712,-1.1300672479462577,-1.5082383881980412
13,9.798127036878302,9.44200749423127,8.863378743232927,8.657242160314812,-0.3561195426470327,-0.9347482936453755,-1.14088487656349
14,9.852720435482475,9.44200749423127,8.553694136700836,8.933430881487208,-0.41071294125120517,-1.299026298781639,-0.9192895539952666
15,9.807141836749443,9.44200749423127,8.393970869394309,8.57614612065802,-0.3651343425181732,-1.4131709673551338,-1.2309957160914227
16,9.724121623567806,9.44200749423127,8.669890875395458,8.78543500826902,-0.2821141293365361,-1.0542307481723476,-0.9386866152987849
17,9.721245992542345,9.44200749423127,8.400825560974384,8.303627706666497,-0.2792384983110754,-1.3204204315679604,-1.4176182858758484
18,9.883794919190391,9.44200749423127,8.764241726178327,8.726999821333813,-0.4417874249591218,-1.1195531930120648,-1.1567950978565786
19,9.994287576862567,9.44200749423127,8.525813917417889,8.511175763528158,-0.552280082631297,-1.468473659444678,-1.4831118133344088
