,Actual,RW_pred,MLP_pred_[],LSTM_pred_[],RW_res,MLP_res_[],LSTM_res_[]
0,9.217812386814884,9.184406989949679,8.539823,8.319935,-0.033405396865205716,-0.6779898083847087,-0.8978775418441813
1,9.22197245620589,9.184406989949679,8.854541,8.624882,-0.037565466256211266,-0.3674316313157533,-0.5970907118211244
2,9.213535262872702,9.184406989949679,8.2943125,8.568561,-0.02912827292302289,-0.9192227857608852,-0.6449746625919399
3,9.201804040953895,9.184406989949679,8.531548,8.667379,-0.017397051004216735,-0.6702564945671767,-0.5344246616814345
4,9.229750765496005,9.184406989949679,8.671921,8.814964,-0.045343775546326626,-0.5578299891288179,-0.4147864710624116
5,9.257510176452573,9.184406989949679,8.491064,8.503429,-0.0731031865028946,-0.7664461047972999,-0.7540807636107765
6,9.272563715156315,9.184406989949679,8.445859,8.393027,-0.08815672520663576,-0.8267047597730137,-0.8795364095532872
7,9.30782999325344,9.184406989949679,8.614575,8.423411,-0.12342300330376155,-0.693254607206077,-0.8844186239297098
8,9.388570235866881,9.184406989949679,8.486199,8.375528,-0.20416324591720247,-0.9023708568995961,-1.0130419002955922
9,9.44200749423127,9.184406989949679,8.352104,8.565126,-0.25760050428159076,-1.0899033072195508,-0.8768810751638867
10,9.530102337891375,9.44200749423127,8.434754,8.432944,-0.08809484366010523,-1.0953479662483083,-1.0971580401008474
11,9.62483129129166,9.44200749423127,8.936714,8.846196,-0.1828237970603901,-0.6881171189283783,-0.7786351166700776
12,9.71902370267014,9.44200749423127,8.674872,8.682058,-0.2770162084388712,-1.0441513042936759,-1.0369653683195548
13,9.798127036878302,9.44200749423127,8.552307,8.426696,-0.3561195426470327,-1.2458199079720522,-1.3714312132088686
14,9.852720435482475,9.44200749423127,8.431361,8.470169,-0.41071294125120517,-1.4213592370571817,-1.3825513680996622
15,9.807141836749443,9.44200749423127,8.777867,8.750051,-0.3651343425181732,-1.0292745195497357,-1.0570912920106732
16,9.724121623567806,9.44200749423127,8.540183,8.633524,-0.2821141293365361,-1.1839385562460283,-1.0905976825277666
17,9.721245992542345,9.44200749423127,8.227601,8.730305,-0.2792384983110754,-1.4936449412117785,-0.9909412745247668
18,9.883794919190391,9.44200749423127,8.951204,8.54092,-0.4417874249591218,-0.9325906192636335,-1.342874661622032
19,9.994287576862567,9.44200749423127,7.8440404,8.640406,-0.552280082631297,-2.150247183033221,-1.35388192195534
